read_accession_id,taxid,count
CP097095.1,1623,6
CP097095.1,1851395,36
CP097095.1,2963431,6
CP097095.1,2811781,20
CP097095.1,1285583,9
CP097095.1,1118963,16
CP097095.1,43768,17
CP097095.1,2737173,30
CP097095.1,1827,7
CP097095.1,463192,3
CP097095.1,3029061,3
CP097095.1,1484118,3
CP097095.1,2794089,22
CP097095.1,217203,4
CP097095.1,2211210,5
CP097095.1,43771,3
CP097095.1,3030830,5
CP097095.1,129985,1
CP097095.1,512298,2
CP097095.1,2509459,6
CP097095.1,1855909,7
CP097095.1,131111,19
CP097095.1,699041,14
CP097095.1,3073064,1
CP097095.1,622681,2
CP097095.1,54571,8
CP097095.1,2051,19
CP097095.1,2789424,17
CP097095.1,1437605,7
CP097095.1,211114,2
CP097095.1,75,2
CP097095.1,108486,4
CP097095.1,2879618,7
CP097095.1,706439,29
CP097095.1,443218,2
CP097095.1,2775081,4
CP097095.1,1683,2
CP097095.1,65058,5
CP097095.1,96468,4
CP097095.1,112874,6
CP097095.1,2853258,7
CP097095.1,216816,14
CP097095.1,39689,5
CP097095.1,80840,1
CP097095.1,85006,125
CP097095.1,61645,3
CP097095.1,2975953,1
CP097095.1,2080742,3
CP097095.1,1336740,10
CP097095.1,2973976,7
CP097095.1,1658665,1
CP097095.1,75385,9
CP097095.1,2817475,6
CP097095.1,670516,4
CP097095.1,322509,5
CP097095.1,550540,2
CP097095.1,471857,9
CP097095.1,3095341,2
CP097095.1,2583374,6
CP097095.1,1795,4
CP097095.1,2487892,7
CP097095.1,665913,3
CP097095.1,2682456,7
CP097095.1,1873,6
CP097095.1,446471,3
CP097095.1,3062461,6
CP097095.1,2932244,2
CP097095.1,82380,12
CP097095.1,1160973,12
CP097095.1,85009,2
CP097095.1,2975955,3
CP097095.1,48075,1
CP097095.1,2831662,3
CP097095.1,1431546,13
CP097095.1,2057246,6
CP097095.1,2772401,9
CP097095.1,1756150,4
CP097095.1,1684,16
CP097095.1,251747,4
CP097095.1,3140789,8
CP097095.1,2017484,4
CP097095.1,2962632,9
CP097095.1,172042,9
CP097095.1,2672569,5
CP097095.1,2079793,3
CP097095.1,1912897,5
CP097095.1,2003551,6
CP097095.1,2495645,21
CP097095.1,1682,4
CP097095.1,2903594,3
CP097095.1,570277,4
CP097095.1,3603,5
CP097095.1,2774460,1
CP097095.1,2486855,11
CP097095.1,35760,2
CP097095.1,2903657,9
CP097095.1,615,3
CP097095.1,2975950,3
CP097095.1,162496,5
CP097095.1,38289,10
CP097095.1,1453495,5
CP097095.1,41275,6
CP097095.1,1863,4
CP097095.1,2047744,3
CP097095.1,651666,4
CP097095.1,1652495,11
CP097095.1,1862358,4
CP097095.1,28256,2
CP097095.1,59561,4
CP097095.1,53431,3
CP097095.1,192944,9
CP097095.1,33010,19
CP097095.1,265976,1
CP097095.1,79200,1
CP097095.1,529883,6
CP097095.1,2735528,2
CP097095.1,2714933,2
CP097095.1,44010,4
CP097095.1,2847992,3
CP097095.1,2802975,2
CP097095.1,2675754,1
CP097095.1,410837,11
CP097095.1,1717,9
CP097095.1,2872154,3
CP097095.1,1224162,3
CP097095.1,2651199,4
CP097095.1,3115209,5
CP097095.1,83219,4
CP097095.1,1236,39
CP097095.1,2596912,6
CP097095.1,888050,12
CP097095.1,169292,12
CP097095.1,2292766,7
CP097095.1,2735563,2
CP097095.1,29465,8
CP097095.1,28264,10
CP097095.1,1960083,28
CP097095.1,1870995,12
CP097095.1,2775496,6
CP097095.1,643674,1
CP097095.1,571915,7
CP097095.1,28211,12
CP097095.1,1603886,5
CP097095.1,1389713,1
CP097095.1,2801844,3
CP097095.1,1646377,1
CP097095.1,291845,1
CP097095.1,2909672,6
CP097095.1,887462,5
CP097095.1,28173,5
CP097095.1,71275,2
CP097095.1,2079791,8
CP097095.1,1395951,7
CP097095.1,29318,3
CP097095.1,29780,2
CP097095.1,1391653,1
CP097095.1,680646,13
CP097095.1,1288636,7
CP097095.1,340345,4
CP097095.1,3142261,4
CP097095.1,2074,6
CP097095.1,2623841,2
CP097095.1,84595,3
CP097095.1,2762611,2
CP097095.1,1300344,3
CP097095.1,2107707,6
CP097095.1,1085,1
CP097095.1,1891279,4
CP097095.1,3369,3
CP097095.1,85336,14
CP097095.1,2709394,4
CP097095.1,1912215,4
CP097095.1,71999,4
CP097095.1,77635,7
CP097095.1,1993,2
CP097095.1,1931241,1
CP097095.1,1577075,3
CP097095.1,146827,2
CP097095.1,39778,11
CP097095.1,2932182,4
CP097095.1,2929802,7
CP097095.1,4555,2
CP097095.1,41673,4
CP097095.1,2903579,2
CP097095.1,2859226,4
CP097095.1,2020486,1
CP097095.1,3136634,2
CP097095.1,2589797,7
CP097095.1,4565,5
CP097095.1,1710,8
CP097095.1,2697565,7
CP097095.1,1471400,4
CP097095.1,2937985,2
CP097095.1,156980,2
CP097095.1,57493,3
CP097095.1,1192162,6
CP097095.1,1897061,5
CP097095.1,585529,1
CP097095.1,1236179,6
CP097095.1,2603598,1
CP097095.1,2759167,7
CP097095.1,754397,9
CP097095.1,1670,5
CP097095.1,157783,1
CP097095.1,32207,16
CP097095.1,158836,1
CP097095.1,1765219,6
CP097095.1,2996261,14
CP097095.1,876,3
CP097095.1,206351,3
CP097095.1,1874317,2
CP097095.1,512763,3
CP097095.1,904291,5
CP097095.1,2054919,8
CP097095.1,196164,5
CP097095.1,1,3
CP097095.1,1793722,4
CP097095.1,85016,2
CP097095.1,656366,21
CP097095.1,2964609,5
CP097095.1,168172,5
CP097095.1,1348662,7
CP097095.1,2917725,15
CP097095.1,2572577,1
CP097095.1,161879,3
CP097095.1,2055947,1
CP097095.1,33071,9
CP097095.1,147368,4
CP097095.1,1315974,2
CP097095.1,570,5
CP097095.1,2810563,6
CP097095.1,278860,1
CP097095.1,2080757,11
CP097095.1,36739,9
CP097095.1,441500,3
CP097095.1,1300347,4
CP097095.1,2895818,2
CP097095.1,1437824,2
CP097095.1,2049881,5
CP097095.1,2875948,3
CP097095.1,3016342,3
CP097095.1,201174,13
CP097095.1,1646,3
CP097095.1,59814,3
CP097095.1,216572,3
CP097095.1,3123041,4
CP097095.1,1633,3
CP097095.1,99807,7
CP097095.1,28065,2
CP097095.1,2126346,1
CP097095.1,2777556,5
CP097095.1,1134435,6
CP097095.1,1286180,5
CP097095.1,2762318,4
CP097095.1,1027966,1
CP097095.1,33154,1
CP097095.1,1532023,1
CP097095.1,1285901,5
CP097095.1,2830983,1
CP097095.1,1656,18
CP097095.1,477641,3
CP097095.1,2762729,1
CP097095.1,1032480,2
CP097095.1,53457,4
CP097095.1,1118379,11
CP097095.1,103817,3
CP097095.1,2816859,3
CP097095.1,2701,3
CP097095.1,2836373,2
CP097095.1,3138237,8
CP097095.1,2603292,1
CP097095.1,1750,3
CP097095.1,2506452,6
CP097095.1,1696,14
CP097095.1,4232,1
CP097095.1,1275,3
CP097095.1,2894187,4
CP097095.1,68188,1
CP097095.1,28047,1
CP097095.1,69823,5
CP097095.1,2609290,10
CP097095.1,47858,1
CP097095.1,521392,1
CP097095.1,657387,6
CP097095.1,187491,16
CP097095.1,546871,8
CP097095.1,358099,4
CP097095.1,266117,3
CP097095.1,1630135,9
CP097095.1,2736649,4
CP097095.1,2731220,2
CP097095.1,1944646,1
CP097095.1,1744,7
CP097095.1,2762331,2
CP097095.1,1202450,2
CP097095.1,43674,13
CP097095.1,2596911,7
CP097095.1,85025,3
CP097095.1,119981,5
CP097095.1,1852390,4
CP097095.1,649831,7
CP097095.1,3027472,4
CP097095.1,2975740,6
CP097095.1,1237085,1
CP097095.1,2604421,3
CP097095.1,1913979,6
CP097095.1,82115,1
CP097095.1,1292,1
CP097095.1,976,1
CP097095.1,98671,13
CP097095.1,458696,3
CP097095.1,2828862,1
CP097095.1,1817,4
CP097095.1,61592,15
CP097095.1,1302235,7
CP097095.1,2069367,1
CP097095.1,2624378,4
CP097095.1,1853130,1
CP097095.1,556288,5
CP097095.1,1749,9
CP097095.1,1703,3
CP097095.1,161895,11
CP097095.1,2886046,1
CP097095.1,2498135,6
CP097095.1,2567881,3
CP097095.1,1850093,2
CP097095.1,200361,1
CP097095.1,1458307,3
CP097095.1,3036302,14
CP097095.1,38727,2
CP097095.1,1076,2
CP097095.1,1385,3
CP097095.1,419476,3
CP097095.1,662755,6
CP097095.1,2518370,3
CP097095.1,2038116,1
CP097095.1,74426,6
CP097095.1,2653857,7
CP097095.1,409290,5
CP097095.1,1768,1
CP097095.1,2979324,2
CP097095.1,1930273,2
CP097095.1,2975959,1
CP097095.1,2708084,6
CP097095.1,190146,2
CP097095.1,3038642,3
CP097095.1,150026,1
CP097095.1,2976983,5
CP097095.1,1500254,1
CP097095.1,43770,10
CP097095.1,374432,6
CP097095.1,1839,1
CP097095.1,131110,16
CP097095.1,34072,1
CP097095.1,2639426,3
CP097095.1,1355015,3
CP097095.1,2742132,4
CP097095.1,2171623,1
CP097095.1,433,5
CP097095.1,91347,10
CP097095.1,2717324,2
CP097095.1,28216,4
CP097095.1,2683590,8
CP097095.1,2976003,8
CP097095.1,47715,4
CP097095.1,36805,5
CP097095.1,2722751,9
CP097095.1,46127,1
CP097095.1,335929,3
CP097095.1,281090,5
CP097095.1,319501,4
CP097095.1,2219224,3
CP097095.1,1963268,1
CP097095.1,9606,6
CP097095.1,1076124,1
CP097095.1,2991728,1
CP097095.1,76021,5
CP097095.1,1428,2
CP097095.1,2065379,4
CP097095.1,2998080,2
CP097095.1,1680,16
CP097095.1,1788,1
CP097095.1,1302308,6
CP097095.1,102862,1
CP097095.1,169133,4
CP097095.1,2819238,2
CP097095.1,364197,5
CP097095.1,1049583,4
CP097095.1,1526412,7
CP097095.1,2811108,4
CP097095.1,1241979,2
CP097095.1,1196083,1
CP097095.1,2961925,8
CP097095.1,2027860,2
CP097095.1,2725560,3
CP097095.1,29459,4
CP097095.1,4520,1
CP097095.1,39691,2
CP097095.1,2029117,2
CP097095.1,135621,3
CP097095.1,680279,3
CP097095.1,1298,1
CP097095.1,5506,2
CP097095.1,4236,5
CP097095.1,2987701,6
CP097095.1,104663,2
CP097095.1,4072,2
CP097095.1,2738409,2
CP097095.1,3049801,3
CP097095.1,55404,1
CP097095.1,2967130,2
CP097095.1,39695,2
CP097095.1,2867410,5
CP097095.1,2578107,8
CP097095.1,2608935,5
CP097095.1,1522056,1
CP097095.1,2903583,5
CP097095.1,2995145,4
CP097095.1,162156,1
CP097095.1,2758442,6
CP097095.1,3028314,3
CP097095.1,89674,1
CP097095.1,1442551,4
CP097095.1,1792,2
CP097095.1,1072463,3
CP097095.1,654,8
CP097095.1,2020965,3
CP097095.1,444597,7
CP097095.1,235987,2
CP097095.1,3058426,3
CP097095.1,2810516,10
CP097095.1,679663,4
CP097095.1,2584940,4
CP097095.1,204037,3
CP097095.1,858619,3
CP097095.1,28026,1
CP097095.1,1978566,6
CP097095.1,2027290,3
CP097095.1,1882757,1
CP097095.1,2059884,2
CP097095.1,2587808,6
CP097095.1,2754044,1
CP097095.1,1229727,2
CP097095.1,2691889,7
CP097095.1,3015163,1
CP097095.1,1115757,4
CP097095.1,411903,5
CP097095.1,455344,2
CP097095.1,374,3
CP097095.1,1884916,1
CP097095.1,1331682,1
CP097095.1,3073562,2
CP097095.1,515415,2
CP097095.1,2830992,11
CP097095.1,40323,1
CP097095.1,398694,4
CP097095.1,2099694,8
CP097095.1,37637,6
CP097095.1,3068640,6
CP097095.1,293,3
CP097095.1,1270,3
CP097095.1,1133849,1
CP097095.1,1133546,3
CP097095.1,2420509,5
CP097095.1,1658671,1
CP097095.1,592029,1
