read_accession_id,read_accession_total_count,root,kraken_classified_root,superkingdom,kraken_classified_superkingdom,phylum,kraken_classified_phylum,class,kraken_classified_class,order,kraken_classified_order,family,kraken_classified_family,genus,kraken_classified_genus,species,kraken_classified_species
NZ_AP025457.1,6291,root,6291,Bacteria,6291,Actinomycetota,6290,Actinomycetes,6290,Mycobacteriales,6290,Tsukamurellaceae,6288,Tsukamurella,6288,Tsukamurella pulmonis,6272
NZ_CP019066.1,3743,root,3743,Bacteria,3743,Actinomycetota,3743,Actinomycetes,3743,Mycobacteriales,3743,Tsukamurellaceae,3742,Tsukamurella,3742,Tsukamurella tyrosinosolvens,3734
NZ_CP058970.1,3887,root,3887,Bacteria,3886,Pseudomonadota,3880,Betaproteobacteria,3859,Burkholderiales,3859,Comamonadaceae,3858,Delftia,3845,Delftia acidovorans,2888
NZ_CP083630.1,3466,root,3465,Bacteria,3465,Pseudomonadota,3464,Gammaproteobacteria,3464,Enterobacterales,3452,Enterobacteriaceae,3424,Leclercia,3323,Leclercia adecarboxylata,2767
NZ_UGGM01000001.1,11421,root,4155,Bacteria,4047,Actinomycetota,3032,Coriobacteriia,2230,Eggerthellales,1445,Eggerthellaceae,1445,Slackia,285,Slackia exigua,0
NZ_RBKV01000001.1,3224,root,1700,Bacteria,1677,Actinomycetota,1545,Actinomycetes,1537,Mycobacteriales,1138,Nocardiaceae,317,Williamsia,28,Williamsia muralis,0
NZ_CP010310.2,10947,root,10947,Bacteria,10947,Pseudomonadota,10947,Betaproteobacteria,10947,Burkholderiales,10944,Burkholderiaceae,10941,Pandoraea,10929,Pandoraea pulmonicola,10912
NZ_AP018561.1,3590,root,3589,Bacteria,3585,Mycoplasmatota,3585,Mollicutes,0,Mycoplasmatales,0,Mycoplasmataceae,0,Ureaplasma,3576,Ureaplasma parvum,3463
NZ_CP114997.1,1487,root,1487,Bacteria,1485,Pseudomonadota,1482,Gammaproteobacteria,1479,Enterobacterales,1476,Enterobacteriaceae,1464,Enterobacter,1445,unclassified Enterobacter species,0
NZ_AWET01000008.1,6396,root,3071,Bacteria,3011,Bacteroidota,2913,Bacteroidia,2889,Bacteroidales,2881,Prevotellaceae,2667,Hoylesella,2039,Hoylesella pleuritidis,0
NC_075417.1,2730,root,2730,Viruses,2730,Peploviricota,2730,Herviviricetes,2730,Herpesvirales,2730,Herpesviridae,0,Cytomegalovirus,2730,unclassified Cytomegalovirus species,0
NC_000883.2,5349,root,5349,Viruses,5349,Cossaviricota,5349,Quintoviricetes,5349,Piccovirales,5349,Parvoviridae,5349,Erythroparvovirus,5349,Primate erythroparvovirus 1,0
NC_076948.1,7852,root,7852,Viruses,7852,Kitrinoviricota,7852,Alsuviricetes,7852,Hepelivirales,7852,Matonaviridae,7852,Rubivirus,7852,Rubivirus rubellae,7852
NC_028752.1,587,root,587,Viruses,587,Pisuviricota,587,Pisoniviricetes,587,Nidovirales,587,Coronaviridae,587,Alphacoronavirus,587,Human coronavirus 229E,587
NC_006213.1,8475,root,8475,Viruses,8475,Pisuviricota,8475,Pisoniviricetes,8475,Nidovirales,8475,Coronaviridae,8475,Betacoronavirus,8475,Betacoronavirus 1,8475
NC_005831.2,3186,root,3186,Viruses,3186,Pisuviricota,3186,Pisoniviricetes,3186,Nidovirales,3186,Coronaviridae,3186,Alphacoronavirus,3186,Human coronavirus NL63,3186
NC_006577.2,879,root,879,Viruses,879,Pisuviricota,879,Pisoniviricetes,879,Nidovirales,879,Coronaviridae,879,Betacoronavirus,879,Human coronavirus HKU1,879
NC_011202.1,2043,root,2043,Viruses,2043,Preplasmiviricota,2043,Tectiliviricetes,2043,Rowavirales,2043,Adenoviridae,2043,Mastadenovirus,2043,Human mastadenovirus B,2043
AC_000017.1,8299,root,8299,Viruses,8299,Preplasmiviricota,8299,Tectiliviricetes,8299,Rowavirales,8299,Adenoviridae,8299,Mastadenovirus,8299,Human mastadenovirus C,8299
NC_017825.1,5274,root,5274,Viruses,5274,Preplasmiviricota,5274,Tectiliviricetes,5274,Rowavirales,5274,Adenoviridae,5274,Mastadenovirus,5274,Human mastadenovirus E,5274
OP255990.1,1061,root,1061,Viruses,1061,Cossaviricota,1061,Quintoviricetes,1061,Piccovirales,1061,Parvoviridae,1061,Bocaparvovirus,1061,Primate bocaparvovirus 1,0
OQ689803.1,6381,root,1147,Viruses,1001,Pisuviricota,1001,Pisoniviricetes,1001,Picornavirales,1001,Picornaviridae,1001,Parechovirus,943,Parechovirus A,943
NC_003443.1,3634,root,3634,Viruses,3634,Negarnaviricota,3634,Monjiviricetes,3634,Mononegavirales,3634,Paramyxoviridae,3634,Orthorubulavirus,3634,Human orthorubulavirus 2,3634
NC_021928.1,5958,root,5958,Viruses,5958,Negarnaviricota,5958,Monjiviricetes,5958,Mononegavirales,5958,Paramyxoviridae,5958,Orthorubulavirus,5958,Human orthorubulavirus 4,5958
OR043657.1,1290,root,1290,Viruses,1290,Negarnaviricota,1290,Monjiviricetes,1290,Mononegavirales,1290,Paramyxoviridae,1290,Orthorubulavirus,1290,Mammalian orthorubulavirus 5,0
NC_002200.1,11799,root,11799,Viruses,11799,Negarnaviricota,11799,Monjiviricetes,11799,Mononegavirales,11799,Paramyxoviridae,11799,Orthorubulavirus,11799,Mumps orthorubulavirus,11799
