read_accession_id,read_accession_total_count,root,kraken_classified_root,superkingdom,kraken_classified_superkingdom,phylum,kraken_classified_phylum,class,kraken_classified_class,order,kraken_classified_order,family,kraken_classified_family,genus,kraken_classified_genus,species,kraken_classified_species
NC_076948.1,15702,root,10480,Viruses,10433,Kitrinoviricota,10433,Alsuviricetes,10433,Hepelivirales,10433,Matonaviridae,10433,Rubivirus,10433,Rubivirus rubellae,10433
NC_028752.1,1174,root,1174,Viruses,1174,Pisuviricota,1174,Pisoniviricetes,1174,Nidovirales,1174,Coronaviridae,1174,Alphacoronavirus,1174,Human coronavirus 229E,1174
NC_006213.1,16950,root,16950,Viruses,16950,Pisuviricota,16950,Pisoniviricetes,16950,Nidovirales,16950,Coronaviridae,16950,Betacoronavirus,16950,Betacoronavirus 1,16950
NC_005831.2,6372,root,6370,Viruses,6370,Pisuviricota,6370,Pisoniviricetes,6370,Nidovirales,6370,Coronaviridae,6370,Alphacoronavirus,6370,Human coronavirus NL63,6370
NC_006577.2,1758,root,1754,Viruses,1754,Pisuviricota,1754,Pisoniviricetes,1754,Nidovirales,1754,Coronaviridae,1754,Betacoronavirus,1754,Human coronavirus HKU1,1754
NC_011202.1,4084,root,4084,Viruses,4084,Preplasmiviricota,4084,Tectiliviricetes,4084,Rowavirales,4084,Adenoviridae,4084,Mastadenovirus,4084,Human mastadenovirus B,4084
AC_000017.1,16596,root,16594,Viruses,16594,Preplasmiviricota,16594,Tectiliviricetes,16594,Rowavirales,16594,Adenoviridae,16594,Mastadenovirus,16594,Human mastadenovirus C,16594
NC_017825.1,10546,root,10545,Viruses,10545,Preplasmiviricota,10545,Tectiliviricetes,10545,Rowavirales,10545,Adenoviridae,10545,Mastadenovirus,10545,Human mastadenovirus E,10539
OP255990.1,2122,root,2122,Viruses,2122,Cossaviricota,2122,Quintoviricetes,2122,Piccovirales,2122,Parvoviridae,2122,Bocaparvovirus,2122,Primate bocaparvovirus 1,2122
OQ689803.1,12762,root,918,Viruses,918,Pisuviricota,918,Pisoniviricetes,918,Picornavirales,918,Picornaviridae,918,Parechovirus,875,Parechovirus A,875
NC_003443.1,7266,root,7266,Viruses,7266,Negarnaviricota,7266,Monjiviricetes,7266,Mononegavirales,7266,Paramyxoviridae,7266,Orthorubulavirus,7266,Human orthorubulavirus 2,7266
NC_021928.1,11912,root,11912,Viruses,11912,Negarnaviricota,11912,Monjiviricetes,11912,Mononegavirales,11912,Paramyxoviridae,11912,Orthorubulavirus,11912,Human orthorubulavirus 4,11912
OR043657.1,2580,root,2579,Viruses,2579,Negarnaviricota,2579,Monjiviricetes,2579,Mononegavirales,2579,Paramyxoviridae,2579,Orthorubulavirus,2579,Mammalian orthorubulavirus 5,2579
NC_002200.1,23604,root,23604,Viruses,23604,Negarnaviricota,23604,Monjiviricetes,23604,Mononegavirales,23604,Paramyxoviridae,23604,Orthorubulavirus,23604,Mumps orthorubulavirus,23604
