accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP033459.1,514,Pseudoprevotella,2884814,513,1933085,0,1,Pseudoprevotella muciniphila,2133944,513,1933085,0,1
NZ_CP036550.1,4188,Bacteroides,816,4064,1929398,13,124,Bacteroides fragilis,817,3997,1929411,0,191
NZ_CP049272.1,831,Campylobacter,194,6360,1927230,4,5,Campylobacter concisus,199,830,1932767,1,1
NZ_CP012544.1,5466,Campylobacter,194,6360,1927230,4,5,Campylobacter showae,204,5440,1928126,7,26
NZ_CP022386.1,22990,Capnocytophaga,1016,33149,1900423,0,27,Capnocytophaga gingivalis,1017,22849,1910606,3,141
NZ_CP022384.1,10020,Capnocytophaga,1016,33149,1900423,0,27,Capnocytophaga leadbetteri,327575,9558,1923577,2,462
NZ_CP022379.1,166,Capnocytophaga,1016,33149,1900423,0,27,Capnocytophaga sputigena,1019,163,1933421,12,3
NZ_CP028101.1,714,Fusobacterium,848,192485,1740678,9,427,Fusobacterium nucleatum,851,678,1931251,1634,36
NZ_CP024703.1,191258,Fusobacterium,848,192485,1740678,9,427,Fusobacterium pseudoperiodonticum,2663009,183950,1742337,4,7308
NZ_CP083637.1,143,Gemella,1378,143,1933456,0,0,Gemella haemolysans,1379,141,1933456,0,2
NZ_CP031243.1,94,Haemophilus,724,204811,1726541,1169,1078,Haemophilus haemolyticus,726,91,1932830,675,3
NZ_AP018768.1,267,Haemophilus,724,204811,1726541,1169,1078,Haemophilus influenzae,727,241,1933183,149,26
NZ_CP035368.2,205528,Haemophilus,724,204811,1726541,1169,1078,Haemophilus parainfluenzae,729,202941,1727585,486,2587
NC_013203.1,68,Lancefieldella,2767353,68,1933531,0,0,Lancefieldella parvula,1382,68,1933531,0,0
NZ_CP101528.1,784,Micrococcus,1269,781,1932815,0,3,Micrococcus luteus,1270,650,1932815,0,134
NZ_CP078113.1,7335,Neisseria,482,450344,1467846,3,15406,Neisseria gonorrhoeae,485,6847,1924185,2079,488
NZ_CP030820.1,26231,Neisseria,482,450344,1467846,3,15406,Neisseria meningitidis,487,24182,1898892,8476,2049
NZ_CP053939.1,164668,Neisseria,482,450344,1467846,3,15406,Neisseria mucosa,488,159977,1620661,148270,4691
NZ_CP073114.1,267516,Neisseria,482,450344,1467846,3,15406,Neisseria subflava,28449,21201,1665956,127,246315
NZ_CP092048.1,3464,Porphyromonas,836,3435,1928696,1,1467,Porphyromonas gingivalis,837,3426,1930134,1,38
NC_019960.1,74,Prevotella,838,2287,1931113,20,179,Prevotella dentalis,52227,74,1933523,2,0
NZ_CP024696.1,2210,Prevotella,838,2287,1931113,20,179,Prevotella intermedia,28131,2116,1931386,3,94
NZ_CP072363.1,62,Prevotella,838,2287,1931113,20,179,Prevotella jejuni,1177574,62,1933536,1,0
NZ_CP079201.1,31024,Rothia,32207,890470,1042710,74,345,Rothia dentocariosa,2047,30848,1902563,12,176
NZ_CP079822.1,858092,Rothia,32207,890470,1042710,74,345,Rothia mucilaginosa,43675,857401,1073833,1674,691
NZ_CP102197.1,8050,Schaalia,2529408,8025,1925262,287,25,Schaalia odontolytica,1660,8025,1925280,269,25
NZ_LS483444.1,137,Streptococcus,1301,60571,1870036,138,2854,Streptococcus australis,113107,124,1933452,10,13
NZ_CP079193.1,48260,Streptococcus,1301,60571,1870036,138,2854,Streptococcus suis,1307,45865,1885300,39,2395
NZ_CAKAHJ010000001.1,608,Actinomyces,1654,6,1932990,1,602,uncultured Actinomyces sp.,249061,0,1932991,0,608
NZ_CALGPY010000005.1,68,Campylobacter,194,6360,1927230,4,5,uncultured Campylobacter sp.,218934,0,1933531,0,68
NZ_CAKOJV010000001.1,940,Fusobacterium,848,192485,1740678,9,427,uncultured Fusobacterium sp.,159267,0,1932659,0,940
NZ_CABPWA010000001.1,188,Peptostreptococcus,1257,2,1933411,0,186,uncultured Peptostreptococcus sp.,169971,0,1933411,0,188
NZ_UQJH01000001.1,1438,Porphyromonas,836,3435,1928696,1,1467,uncultured Porphyromonas sp.,159274,0,1932161,0,1438
NZ_CAJTJS010000001.1,120,Prevotella,838,2287,1931113,20,179,uncultured Prevotella sp.,159272,0,1933479,0,120
NZ_CAKAIK010000001.1,1699,Rothia,32207,890470,1042710,74,345,uncultured Rothia sp.,316088,0,1931900,0,1699
NZ_CAMNMG010000001.1,15028,Streptococcus,1301,60571,1870036,138,2854,uncultured Streptococcus sp.,83427,0,1918571,0,15028
NZ_CALHUL010000006.1,444,Treponema,157,385,1933155,0,59,uncultured Treponema sp.,162155,0,1933155,0,444
NZ_CP020566.1,1600,Veillonella,29465,52488,1880159,528,424,Veillonella atypica,39777,1593,1931938,61,7
NZ_LR134375.1,5956,Veillonella,29465,52488,1880159,528,424,Veillonella dispar,39778,5466,1927514,129,490
NZ_AP022321.1,40578,Veillonella,29465,52488,1880159,528,424,Veillonella nakazawae,2682456,34984,1892838,183,5594
NZ_CP019721.1,4778,Veillonella,29465,52488,1880159,528,424,Veillonella parvula,29466,4720,1928424,397,58
