read_accession_id,count
CP097095.1,2966
NZ_LT635457.1,1743
NZ_CAKAHJ010000001.1,11467
NZ_CP124548.1,5926
NZ_CP012072.1,7960
NZ_CP033459.1,12925
CAKAFU010000002.1,1707
NZ_CP032823.1,3095
NZ_CP036550.1,426
NZ_CP040630.1,5027
NZ_CP102541.1,166
NZ_CP049272.1,6747
NZ_CP082871.1,3428
NZ_CP012544.1,2778
NZ_CALGPY010000005.1,755
NZ_CP022386.1,3386
NZ_CP022384.1,3356
NZ_CP022379.1,3648
ACIL03000013.1,4953
NC_001464.1,5513
NZ_CP073092.1,7691
NZ_CP101133.1,9260
NZ_CP100372.1,2113
NZ_CP063195.1,9290
NZ_CP100361.1,1876
NZ_CP024931.1,1843
NZ_AP027140.1,909
NC_001472.1,7598
MT157224.1,883
NC_038311.1,8121
NC_009996.1,6355
OQ842458.1,3695
NC_038307.1,2944
OQ842451.1,6938
OQ919261.1,1355
OQ842410.1,5423
NC_038308.1,5765
JQ041368.1,710
EF174468.1,2658
NC_038312.1,1078
MN164484.2,1796
NZ_CP018196.1,11987
NZ_CP028101.1,2497
NZ_CP024703.1,149
NZ_CAKOJV010000001.1,487
NZ_CP083637.1,218
NZ_CP046314.1,2395
NZ_CP040915.1,4267
NZ_CP031243.1,3867
NZ_AP018768.1,9551
NZ_CP038817.1,8593
NZ_CP035368.2,10566
NZ_LT906463.1,6760
NC_039199.1,6718
NC_001781.1,9569
MG027862.1,3097
NZ_CP036164.1,4483
NZ_CP065999.1,1864
NZ_CP123447.1,6534
NZ_CP050136.1,9152
NC_013203.1,7855
NZ_LR134378.1,488
NZ_AP019831.1,4282
NZ_AP019829.2,1055
NC_013192.1,6262
NZ_CP101528.1,4429
NZ_CP126965.1,454
NZ_CANLQP010000001.1,705
NZ_CP014234.1,6401
NZ_CP039886.1,9462
NZ_CP078113.1,2215
NZ_CP030820.1,4365
NZ_CP053939.1,11184
NZ_CP073114.1,2775
NZ_CP031253.1,8235
AFIH01000001.1,9063
OP288969.1,8277
NC_045512.2,576
NC_004718.3,153
NZ_CP092048.1,1434
NZ_UQJH01000001.1,9837
NC_019960.1,8366
NZ_CP024696.1,3228
NZ_CP072363.1,3592
AP018050.1,4859
NZ_CP072390.1,10190
NZ_CAJTJS010000001.1,1828
NZ_UGTJ01000001.1,5890
NZ_CP079201.1,5079
NZ_CP079822.1,2674
NZ_CAKAIK010000001.1,2042
NZ_CP102197.1,5524
CAHJXR010000003.1,1150
NZ_CP060204.1,3207
NZ_AP025697.1,300
NZ_CP012071.1,2780
NZ_LOHY01000088.1,7469
NZ_LS483444.1,2663
NZ_CP127842.1,702
NZ_CP012646.1,1951
NZ_CP079724.1,1030
NZ_CP102583.1,10360
NC_015875.1,8341
NZ_CP009913.1,3751
NZ_CP079193.1,10162
NZ_CAMNMG010000001.1,1310
NZ_CP029207.1,3661
NC_001367.1,3466
NZ_CP009227.1,7502
NZ_CALHUL010000006.1,2583
NZ_CAMUES010000001.1,114
NZ_CABPWA010000001.1,8157
NZ_CP020566.1,2249
NZ_LR134375.1,2622
NZ_AP022321.1,5220
NZ_CP019721.1,992
NZ_JAGZUH010000001.1,145
NZ_CP028435.1,3912
NZ_CP133094.1,1816
NZ_CP117438.1,7338
NZ_CP076348.1,1635
CP006667.1,1110
NZ_CP033672.1,2345
NZ_CP009323.1,2403
NZ_NBSQ01000002.1,1538
NZ_CP019668.1,5257
NZ_CP020894.3,4732
NZ_UGNY01000001.1,26
NZ_UHIB01000001.1,8927
NZ_CP082852.1,1322
NZ_UGPB01000001.1,2295
NZ_CP132214.1,3450
NZ_CP080636.1,3131
NZ_CP053987.1,4026
NZ_CP095407.1,4106
NZ_CP095867.1,846
NZ_CP132330.1,3164
NZ_CP071602.1,12273
NZ_CP071603.1,7472
AM902716.1,3901
NZ_CP021395.1,1062
NZ_UGSA01000001.1,9680
NZ_CP050992.1,1800
NZ_CP034670.1,5675
NZ_CP023527.1,9337
NZ_CP071265.1,5987
NZ_CP099728.1,9572
NZ_CP036514.1,9462
NZ_CP129616.1,419
NZ_CP129982.1,2075
NZ_CP031257.1,4924
NZ_CP074182.1,1456
NZ_CP132041.1,886
NZ_CP126335.1,7318
NZ_CP059690.1,5974
NZ_CP119546.1,3672
NZ_CP063229.1,8255
NZ_JAGDEP010000001.1,608
NZ_CP126697.1,823
NZ_CP066015.1,10426
NZ_CP102534.1,1995
NZ_CP010106.1,3490
NZ_CP019962.1,12792
CAKAGO010000001.1,8305
AZKM01000008.1,6917
NZ_CP089216.1,5792
NZ_CP070973.1,4764
NZ_MVIJ01000001.1,2605
NZ_LQPW01000031.1,6073
ADNV01000327.1,1843
NZ_CP050145.1,122
NZ_CP119724.1,1477
NZ_CP120507.1,4726
NZ_CP041695.1,9524
NZ_CP031418.1,3934
NZ_CP006850.1,938
NZ_JACHIT010000001.1,3431
NZ_JADLRZ010000001.1,4644
NZ_JAJFOF010000001.1,382
NZ_JAAXPE010000001.1,6802
NZ_AP026979.1,262
NZ_CP046172.1,10344
NZ_CP046320.1,3408
NZ_JABELY010000001.1,2217
NZ_LR134365.1,11525
NZ_UFUW01000001.1,6335
NZ_CP035765.1,935
NZ_CP059045.1,3576
NZ_CP040423.1,5859
NZ_CP017037.1,11103
NZ_CP090423.1,9495
NZ_CP121763.1,3647
NZ_AP025457.1,4560
