read_accession_id,read_accession_total_count,root,kraken_classified_root,superkingdom,kraken_classified_superkingdom,phylum,kraken_classified_phylum,class,kraken_classified_class,order,kraken_classified_order,family,kraken_classified_family,genus,kraken_classified_genus,species,kraken_classified_species
NZ_CP012646.1,260623,root,260553,Bacteria,260545,Bacillota,260475,Bacilli,260467,Lactobacillales,260434,Streptococcaceae,260088,Streptococcus,260036,Streptococcus mitis,211710
NZ_CP079724.1,16665,root,16660,Bacteria,16660,Bacillota,16657,Bacilli,16657,Lactobacillales,16652,Streptococcaceae,16638,Streptococcus,16635,Streptococcus oralis,14025
NC_015875.1,8708,root,8704,Bacteria,8678,Bacillota,8599,Bacilli,8598,Lactobacillales,8591,Streptococcaceae,8585,Streptococcus,8584,Streptococcus pseudopneumoniae,6505
NZ_CP079193.1,23117,root,23116,Bacteria,23112,Bacillota,23049,Bacilli,22951,Lactobacillales,22809,Streptococcaceae,22773,Streptococcus,22769,Streptococcus suis,20583
NZ_CP009227.1,572,root,572,Bacteria,572,Spirochaetota,570,Spirochaetia,570,Spirochaetales,570,Treponemataceae,570,Treponema,570,Treponema sp. OMZ 838,233
NZ_CAKAHJ010000001.1,1136,root,514,Bacteria,511,Actinomycetota,500,Actinomycetes,500,Actinomycetales,413,Actinomycetaceae,413,Actinomyces,7,uncultured Actinomyces sp.,0
NZ_CAKOJV010000001.1,1046,root,978,Bacteria,975,Fusobacteriota,970,Fusobacteriia,970,Fusobacteriales,970,Fusobacteriaceae,970,Fusobacterium,970,uncultured Fusobacterium sp.,0
NZ_CANLQP010000001.1,70,root,42,Bacteria,41,Actinomycetota,35,Actinomycetes,35,Micrococcales,23,Micrococcaceae,17,Micrococcus,10,uncultured Micrococcus sp.,0
NZ_UQJH01000001.1,110,root,12,Bacteria,12,Bacteroidota,5,Bacteroidia,3,Bacteroidales,3,Porphyromonadaceae,2,Porphyromonas,2,uncultured Porphyromonas sp.,0
NZ_CAJTJS010000001.1,218,root,12,Bacteria,12,Bacteroidota,11,Bacteroidia,8,Bacteroidales,8,Prevotellaceae,2,Prevotella,2,uncultured Prevotella sp.,0
NZ_CAMNMG010000001.1,740,root,545,Bacteria,545,Bacillota,543,Bacilli,542,Lactobacillales,540,Streptococcaceae,535,Streptococcus,535,uncultured Streptococcus sp.,0
NZ_CALHUL010000006.1,68726,root,58876,Bacteria,58871,Spirochaetota,58687,Spirochaetia,58687,Spirochaetales,58687,Treponemataceae,58687,Treponema,58687,uncultured Treponema sp.,0
NZ_CP020566.1,25628,root,25620,Bacteria,25620,Bacillota,25610,Negativicutes,25603,Veillonellales,25600,Veillonellaceae,25600,Veillonella,25599,Veillonella atypica,25189
NZ_LR134375.1,62,root,62,Bacteria,62,Bacillota,62,Negativicutes,62,Veillonellales,62,Veillonellaceae,62,Veillonella,62,Veillonella dispar,50
NZ_AP022321.1,66,root,66,Bacteria,66,Bacillota,66,Negativicutes,66,Veillonellales,66,Veillonellaceae,66,Veillonella,66,Veillonella nakazawae,52
NZ_CP019721.1,296,root,296,Bacteria,296,Bacillota,296,Negativicutes,296,Veillonellales,296,Veillonellaceae,296,Veillonella,296,Veillonella parvula,295
