read_accession_id,count
CP097095.1,11886
NZ_CP033459.1,193
NZ_CP049272.1,645
ACIL03000013.1,98
NZ_CP028101.1,13068
NZ_CP024703.1,140
NZ_CP083637.1,46414
NZ_CP031243.1,70
NZ_AP018768.1,253
NZ_CP038817.1,4935
NZ_CP035368.2,5077
NZ_AP019831.1,24052
NZ_AP019829.2,98
NZ_CP101528.1,126
NZ_CP053939.1,29680
NZ_CP073114.1,3283
NZ_CP092048.1,532
NC_019960.1,336
NZ_CP024696.1,701
NZ_CP072363.1,3228
NZ_CP072390.1,84
NZ_CP079201.1,97
NZ_CP079822.1,807661
NZ_LS483444.1,11981
NZ_CP012646.1,16453
NZ_CP009227.1,196
NZ_CAKAHJ010000001.1,154
NZ_UQJH01000001.1,6504
NC_015875.1,56
NZ_CP079193.1,70
NZ_CAMNMG010000001.1,140
NZ_CALHUL010000006.1,7095
NZ_CP020566.1,407
NZ_LR134375.1,111
NZ_AP022321.1,98
NZ_CP019721.1,420
