"","species","unique_genus_with_pathogen_00","unique_genus_non_pathogen_03","unique_genus_non_pathogen_02","unique_genus_non_pathogen_01","unique_family_with_pathogen_04","unique_family_with_pathogen_03","unique_family_with_pathogen_02","unique_family_with_pathogen_01","unique_family_non_pathogen_04","unique_family_non_pathogen_03","unique_family_non_pathogen_02","unique_family_non_pathogen_01","unique_family_non_pathogen_00","throat_with_pathogen_04","throat_with_pathogen_03","throat_with_pathogen_02","throat_with_pathogen_01","throat_non_pathogen_04","throat_non_pathogen_03","throat_non_pathogen_02","throat_non_pathogen_01","SI041_2","SI041_1","SI041","SI037","SI035","SI034","SI032","SI030","SI029","SI023","SI021","SI019","SI018","SI010","SI008","SI007","SI006","SI005","SI004","SI003","SI002","SI001","CSI005","CSI004","CSI003","CSI002","CSI001"
"14","Trueperella pyogenes",99.9018163966618,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.9616907163836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Campylobacter concisus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.9268434196917,100,99.9507954731835,99.9603803486529,NA,NA,NA,NA,100,99.9703571957907,99.8980260761891,99.9501246882793,99.8723675813657,99.9275383322223,99.934635182613,99.8880022399552,99.9654845111744,99.973698053656,99.9189364461738,99.9372778590843,99.9175856520545,100,99.7695852534562,99.9138673557278,99.9243697478991,100,100,100,99.9192225785132,100,100,100,100,99.8724489795918,99.9228246189466
"16","Streptococcus mutans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.9370277078086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Aerococcus sanguinicola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.9290780141844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Nocardia farcinica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.9438360011233,99.8983223182511,99.9425617461229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Tsukamurella tyrosinosolvens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.8392713635146,100,NA,NA,NA,99.9323160226434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Mycobacterium kansasii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.9553092599213,99.896408839779,99.8993963782696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Capnocytophaga gingivalis",NA,NA,NA,NA,99.8185018149819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.8139287612972,99.7447584320875,NA,NA,NA,NA,99.896779521057,99.7932663910218,NA,99.8709677419355,100,100,100,NA,100,99.824355971897,100,100,99.5833333333333,100,100,99.9614494988435,100,100,NA,NA,100,NA,NA,100,99.814424293547,99.8987341772152,NA
"22","Schaalia odontolytica",99.9566724436742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,99.952726126694,100,100,NA,NA,NA,NA,100,99.837074583635,99.8910477573997,NA,99.8922284756317,99.9136069114471,99.85935302391,99.889971977238,99.879453522636,99.8738965952081,99.880828816361,99.8774509803922,99.9094864083623,NA,NA,99.8917175266163,99.9123575810692,99.9167966718669,NA,NA,99.889108884355,NA,99.888726731865,99.8803827751196,99.9033582991061,99.9053724775851,99.882080106914
"23","Gemella haemolysans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.8572199130628,99.9382443758271,99.8992858450833,99.837205860589,NA,NA,NA,NA,99.8317914213625,99.5412844036697,99.868225992423,100,99.8709277711807,99.8390648822632,NA,NA,100,100,100,99.9187982135607,99.8565501412429,99.8815337749625,100,100,99.8775062858617,99.8727015558699,100,99.7347480106101,99.9154589371981,99.8621105700866,100,99.9139167862267,100,100,99.8572193467785
