"","species","read_length","species_sensitivity","species_specificity","species_accuracy","species_precision","genus_sensitivity","genus_specificity","genus_accuracy","genus_precision"
"1","[Eubacterium] brachy","75",0,100,99.3747042125957,100,0.0145187940869312,100.000032281393,98.2112374457729,100
"2","[Eubacterium] brachy","150",0,100,99.3749062868351,100,0.0633463219358089,100.000338786746,98.2123820839001,140.997198879552
"3","[Eubacterium] brachy","300",0,100,99.3745031309449,100,0.0845283150313007,100.000425222575,98.2126447237595,133.666666666667
"4","[Eubacterium] nodatum","75",0,100,98.8363042650869,100,0.0145187940869312,100.000032281393,98.2112374457729,100
"5","[Eubacterium] nodatum","150",0,100,98.835960016495,100,0.0633463219358089,100.000338786746,98.2123820839001,140.997198879552
"6","[Eubacterium] nodatum","300",0,100,98.836363501003,100,0.0845283150313007,100.000425222575,98.2126447237595,133.666666666667
"7","[Haemophilus] ducreyi","75",99.1521197007481,99.9997991457669,99.9963991249874,99.9497234791352,98.9781119614449,99.9936121507365,99.9480873852346,99.8626806537301
"8","[Haemophilus] ducreyi","150",99.9251683711649,99.9998995860939,99.9995999547949,99.9750436735712,99.7077328097809,99.9951835738929,99.982297999674,99.8971768334935
"9","[Haemophilus] ducreyi","300",99.9750124937531,100,99.9998996473608,100,99.9216669277769,99.9964278397361,99.993075667897,99.9239033124441
"10","Abiotrophia defectiva","75",98.1642812694462,100,99.9881989379044,100,98.1642812694462,100,99.9881989379044,100
"11","Abiotrophia defectiva","150",99.1759950248756,100,99.9946996713796,100,99.1759950248756,100,99.9946996713796,100
"12","Abiotrophia defectiva","300",99.4849383486811,100,99.9966881734674,100,99.4849383486811,100,99.9966881734674,100
"13","Achromobacter denitrificans","75",96.8223964466931,99.9999563848254,99.9920583372575,99.9622926093514,99.5070404617554,99.9984439192377,99.9971608051032,99.1695028298456
"14","Achromobacter denitrificans","150",99.1519742027478,99.9999563829611,99.9981917360467,99.9629355077835,99.754580527566,99.9990460161735,99.9986162522324,99.3905118099159
"15","Achromobacter denitrificans","300",99.8017034449256,99.9997818899519,99.9991807042914,99.8404847738797,99.9751614505713,99.9982593431812,99.9981769556495,98.8866613161946
"16","Acinetobacter baumannii","75",11.3556545084394,99.9891406006975,99.6430383970394,82.4691926094935,98.5776347453563,99.9974832055146,99.9732022008537,99.8458160117898
