"","species","species_sensitivity","accession_id","sample_name","read_length","total_reads","sum_reads","taxon_abundance"
"994","Bacteroides cellulosilyticus",94.2084942084942,"NZ_CP072251.1","throat_with_pathogen_01","300",3626,996534,0.36386114
"995","Haemophilus sp. oral taxon 036",99.1666666666667,"NZ_CP027235.1","throat_with_pathogen_01","300",120,996534,0.01204174
"996","Streptococcus pluranimalium",96.0368011323425,"NZ_CP121201.1","throat_with_pathogen_01","300",1413,996534,0.14179145
"997","Streptococcus sp. FDAARGOS_522",6.3006300630063,"NZ_CP033808.1","throat_with_pathogen_01","300",1111,996534,0.11148641
"998","Enterococcus wangshanyuanii",99.3329627570873,"NZ_CP021874.1","throat_with_pathogen_01","300",1799,996534,0.1805257
"999","Streptococcus equinus",98.1080465010258,"NZ_CP075172.1","throat_with_pathogen_01","300",4387,996534,0.44022582
"1000","Bifidobacterium longum",94.7466228289615,"NZ_CP040235.1","throat_with_pathogen_01","300",13991,996534,1.40396615
"1001","Chryseobacterium indologenes",98.0948348856901,"NZ_CP120209.1","throat_with_pathogen_01","300",2362,996534,0.23702152
"1002","Brevibacterium linens",96.6276668960771,"NZ_CP026734.1","throat_with_pathogen_01","300",1453,996534,0.14580536
"1003","Clostridium butyricum",79.4571580627994,"NZ_CP073277.1","throat_with_pathogen_01","300",1879,996534,0.18855353
"1004","Streptococcus dysgalactiae",74.1485203796762,"NZ_CP125360.1","throat_with_pathogen_01","300",1791,996534,0.17972292
"1005","Streptococcus sp. 116-D4",98.3864771417595,"NZ_AP021887.1","throat_with_pathogen_01","300",13015,996534,1.30602669
"1006","Peptacetobacter hiranonis",99.5744680851064,"NZ_CP066811.1","throat_with_pathogen_01","300",705,996534,0.0707452
"1007","Eggerthella lenta",99.5759117896523,"NZ_AP025575.1","throat_with_pathogen_01","300",1179,996534,0.11831006
"1008","Hoylesella enoeca",96.5861513687601,"NZ_CP013195.1","throat_with_pathogen_01","300",12420,996534,1.24631974
"1009","Streptococcus thermophilus",98.8668061366806,"NZ_CP050870.1","throat_with_pathogen_01","300",5736,996534,0.57559501
"1010","Leptotrichia hofstadii",98.0898876404494,"NZ_AP019823.1","throat_with_pathogen_01","300",890,996534,0.08930955
"1011","Streptococcus sanguinis",99.2312241277351,"NZ_CP040798.1","throat_with_pathogen_01","300",1691,996534,0.16968814
"1012","Fusobacterium ulcerans",99.0036665072533,"NZ_CP028105.1","throat_with_pathogen_01","300",12546,996534,1.25896357
"1013","Dermabacter jinjuensis",89.8958333333333,"NZ_CP023482.1","throat_with_pathogen_01","300",960,996534,0.09633389
"1014","Carnobacterium sp. CP1",67.0947030497592,"NZ_CP010796.1","throat_with_pathogen_01","300",623,996534,0.06251668
"1015","Sporosarcina ureae",99.8998998998999,"NZ_CP015348.1","throat_with_pathogen_01","300",999,996534,0.10024746
"1016","Clostridium novyi",35.7737104825291,"NZ_CP029458.1","throat_with_pathogen_01","300",1202,996534,0.12061806
"1017","Jeotgalibaca ciconiae",99.623706491063,"NZ_CP034465.1","throat_with_pathogen_01","300",1063,996534,0.10666972
"1018","Aerococcus urinae",99.5039682539683,"NZ_CP014161.1","throat_with_pathogen_01","300",1008,996534,0.10115059
"1019","Listeria monocytogenes",91.7248483461142,"NZ_CP127188.1","throat_with_pathogen_01","75",8737,999772,0.87389925
"1020","Streptomyces venezuelae",90.0701394908976,"NZ_CP029197.1","throat_with_pathogen_01","75",12689,999772,1.26918938
"1021","Streptococcus koreensis",52.0138888888889,"NZ_CP032620.1","throat_with_pathogen_01","75",2880,999772,0.28806568
"1022","Flaviflexus salsibiostraticola",99.079673941625,"NZ_CP034438.1","throat_with_pathogen_01","75",3803,999772,0.38038673
"1023","Clostridium manihotivorum",99.7107039537126,"NZ_CP025746.1","throat_with_pathogen_01","75",1037,999772,0.10372365
"1024","Flavobacterium columnare",90.7216494845361,"NZ_CP054494.1","throat_with_pathogen_01","75",2619,999772,0.26195973
"1025","Aggregatibacter segnis",84.0848806366048,"NZ_CP065983.1","throat_with_pathogen_01","75",1131,999772,0.11312579
"1026","Propionibacterium freudenreichii",96.8523002421308,"NZ_CP124208.1","throat_with_pathogen_01","75",413,999772,0.04130942
"1027","Parvimonas micra",93.6634494334872,"NZ_CP101412.1","throat_with_pathogen_01","75",2383,999772,0.23835434
"1028","Melissococcus plutonius",98.8928430209569,"NZ_CP006683.1","throat_with_pathogen_01","75",2529,999772,0.25295767
"1029","Staphylococcus simulans",98.727634194831,"NZ_CP017428.1","throat_with_pathogen_01","75",2515,999772,0.25155736
"1030","Lactococcus cremoris",91.435860058309,"NZ_CP015901.2","throat_with_pathogen_01","75",2744,999772,0.27446258
"1031","Vagococcus xieshaowenii",98.3895319577252,"NZ_CP038865.1","throat_with_pathogen_01","75",1987,999772,0.19874531
"1032","Clostridium kluyveri",99.8297389330306,"NZ_CP018335.1","throat_with_pathogen_01","75",1762,999772,0.17624018
"1033","Megasphaera elsdenii",98.7212276214834,"NZ_CP027569.1","throat_with_pathogen_01","75",391,999772,0.03910892
"1034","Erysipelothrix rhusiopathiae",88.9118102114492,"NZ_CP011861.1","throat_with_pathogen_01","75",1939,999772,0.19394422
"1035","Anaerocolumna sedimenticola",99.388379204893,"NZ_CP048000.1","throat_with_pathogen_01","75",327,999772,0.03270746
"1036","Lactiplantibacillus plantarum",72.1830985915493,"NZ_CP068448.1","throat_with_pathogen_01","75",568,999772,0.05681295
"1037","Treponema phagedenis",98.9547038327526,"NZ_CP042818.1","throat_with_pathogen_01","75",861,999772,0.08611964
"1038","Fusobacterium varium",97.1469329529244,"NZ_CP028103.1","throat_with_pathogen_01","75",701,999772,0.07011599
"1039","Brochothrix thermosphacta",99.6462860030318,"NZ_CP016839.1","throat_with_pathogen_01","75",3958,999772,0.39589026
"1040","Streptococcus sp. FDAARGOS_192",35.2331606217617,"NZ_CP020431.2","throat_with_pathogen_01","75",579,999772,0.0579132
"1041","Virgibacillus halodenitrificans",96.1048158640227,"NZ_CP126077.1","throat_with_pathogen_01","75",1412,999772,0.1412322
"1042","Actinomyces israelii",99.1677989130435,"NZ_CP124548.1","throat_with_pathogen_01","75",5888,999772,0.58893428
"1043","Streptococcus himalayensis",95.733690453415,"NZ_CP016953.1","throat_with_pathogen_01","75",5227,999772,0.5228192
"1044","Rothia aeria",98.8479262672811,"NZ_CP068102.1","throat_with_pathogen_01","75",1302,999772,0.13022969
"1045","Streptococcus agalactiae",27.1514342895263,"NZ_CP007570.1","throat_with_pathogen_01","75",4497,999772,0.44980255
"1046","Streptobacillus moniliformis",97.0401691331924,"NZ_CP027400.1","throat_with_pathogen_01","75",946,999772,0.09462157
"1047","Stenotrophomonas maltophilia",42.9810298102981,"NZ_CP098483.1","throat_with_pathogen_01","75",1845,999772,0.18454208
"1048","Sodaliphilus pleomorphus",98.8297872340426,"NZ_CP045696.1","throat_with_pathogen_01","75",2820,999772,0.28206431
"1049","Streptococcus mitis",86.1309851403412,"NZ_CP028415.1","throat_with_pathogen_01","75",1817,999772,0.18174144
"1050","Streptococcus sobrinus",99.3880326382593,"NZ_CP029491.1","throat_with_pathogen_01","75",4412,999772,0.44130062
"1051","Enterococcus durans",95.0934579439252,"NZ_CP088203.1","throat_with_pathogen_01","75",856,999772,0.08561952
"1052","Elizabethkingia anophelis",59.1800356506239,"NZ_CP115634.1","throat_with_pathogen_01","75",3927,999772,0.39278956
"1053","Vagococcus zengguangii",98.7325495958854,"NZ_CP039712.1","throat_with_pathogen_01","75",5444,999772,0.54452415
"1054","Capnocytophaga canimorsus",97.632772269618,"NZ_CP124126.1","throat_with_pathogen_01","75",13011,999772,1.30139672
"1055","Leptotrichia hongkongensis",84.2661034846885,"NZ_AP019846.1","throat_with_pathogen_01","75",1894,999772,0.18944319
"1056","Clostridium tetani",98.7861271676301,"NZ_CP027782.1","throat_with_pathogen_01","75",1730,999772,0.17303945
"1057","Corynebacterium striatum",94.4639103013315,"NZ_CP021252.1","throat_with_pathogen_01","75",1427,999772,0.14273254
"1058","Heyndrickxia coagulans",54.468085106383,"NZ_CP009709.1","throat_with_pathogen_01","75",2115,999772,0.21154823
"1059","Collinsella aerofaciens",98.3050847457627,"NZ_CP040348.1","throat_with_pathogen_01","75",767,999772,0.07671749
"1060","Streptococcus sp. LPB0220",72.3842195540309,"NZ_CP044230.1","throat_with_pathogen_01","75",583,999772,0.0583133
"1061","Lactococcus garvieae",83.7988826815643,"NZ_AP026069.1","throat_with_pathogen_01","75",895,999772,0.08952041
"1062","Enterococcus avium",92.7108146736541,"NZ_CP034169.1","throat_with_pathogen_01","75",2099,999772,0.20994787
"1063","Streptococcus gwangjuense",75,"NZ_CP032621.1","throat_with_pathogen_01","75",388,999772,0.03880885
"1064","Turicibacter sp. H121",26.634488810882,"NZ_CP013476.1","throat_with_pathogen_01","75",2279,999772,0.22795197
"1065","Brevibacillus brevis",71.5596330275229,"NZ_CP023474.1","throat_with_pathogen_01","75",545,999772,0.05451243
"1066","Brevibacillus laterosporus",65.5882352941177,"NZ_CP032848.1","throat_with_pathogen_01","75",340,999772,0.03400775
"1067","Bacteroides intestinalis",94.1276595744681,"NZ_CP041379.1","throat_with_pathogen_01","75",2350,999772,0.23505359
"1068","Bacillus subtilis",3.95939086294416,"NZ_CP098491.1","throat_with_pathogen_01","75",5910,999772,0.59113478
"1069","Arthrobacter alpinus",99.2021276595745,"NZ_CP013745.1","throat_with_pathogen_01","75",1504,999772,0.1504343
"1070","Streptococcus suis",87.6756993725512,"NZ_CP039462.1","throat_with_pathogen_01","75",36497,999772,3.65053232
"1071","Actinomyces oris",89.1118077324974,"NZ_AP025590.1","throat_with_pathogen_01","75",4785,999772,0.47860912
"1072","Cutibacterium acnes",98.5482493595218,"NZ_CP126745.1","throat_with_pathogen_01","75",3513,999772,0.35138011
"1073","Bacillus pseudomycoides",96.6216216216216,"NZ_CP007626.1","throat_with_pathogen_01","75",888,999772,0.08882025
"1074","Clostridium chauvoei",97.6770863206194,"NZ_CP027286.1","throat_with_pathogen_01","75",3487,999772,0.34877952
"1075","Capnocytophaga sp. oral taxon 878",95.8904109589041,"NZ_CP027229.1","throat_with_pathogen_01","75",5110,999772,0.51111653
"1076","Streptococcus halotolerans",99.0409207161125,"NZ_CP014835.1","throat_with_pathogen_01","75",4692,999772,0.469307
"1077","Carnobacterium maltaromaticum",99.3411420204978,"NZ_CP016844.1","throat_with_pathogen_01","75",1366,999772,0.13663115
"1078","Enterococcus faecium",76.9987699876999,"NZ_CP109758.1","throat_with_pathogen_01","75",813,999772,0.08131854
"1079","Georgenia yuyongxinii",99.4342291371994,"NZ_CP040915.1","throat_with_pathogen_01","75",707,999772,0.07071612
"1080","Lactococcus raffinolactis",95.6489675516224,"NZ_CP047630.1","throat_with_pathogen_01","75",1356,999772,0.13563092
"1081","Streptococcus mutans",95.7914572864322,"NZ_CP066294.2","throat_with_pathogen_01","75",1592,999772,0.15923631
"1082","Vansinderenvirus 5093",52.1028037383178,"NC_012753.1","throat_with_pathogen_01","75",5136,999772,0.51371713
"1083","Limosilactobacillus reuteri",98.3371126228269,"NZ_CP095735.1","throat_with_pathogen_01","75",1323,999772,0.13233017
"1084","Jeotgalibaca dankookensis",99.0120746432492,"NZ_CP019728.1","throat_with_pathogen_01","75",911,999772,0.09112078
"1085","Blautia producta",73.5152487961477,"NZ_CP048626.1","throat_with_pathogen_01","75",623,999772,0.06231421
"1086","Burkholderia cenocepacia",42.7266338721012,"NZ_CP019668.1","throat_with_pathogen_01","75",1423,999772,0.14233245
"1087","Sorangium cellulosum",8.42212075088787,"NZ_CP012672.1","throat_with_pathogen_01","75",1971,999772,0.19714495
"1088","Muribaculum intestinale",97.3259334006055,"NZ_CP015402.2","throat_with_pathogen_01","75",1982,999772,0.1982452
"1089","Eubacterium limosum",86.5884325230511,"NZ_CP019962.1","throat_with_pathogen_01","75",1193,999772,0.11932721
"1090","Leptotrichia sp. oral taxon 498",81.5825375170532,"NZ_CP016753.1","throat_with_pathogen_01","75",733,999772,0.07331672
"1091","Capnocytophaga sp. oral taxon 323",54.5890748031496,"NZ_CP012589.1","throat_with_pathogen_01","75",8128,999772,0.81298536
"1092","Streptococcus sp. oral taxon 431",90.2258726899384,"NZ_CP014264.1","throat_with_pathogen_01","75",4870,999772,0.48711106
"1093","Campylobacter curvus",99.3298856435283,"NZ_CP085964.1","throat_with_pathogen_01","75",13729,999772,1.37321309
"1094","Proteus mirabilis",91.414496833216,"NZ_CP098447.1","throat_with_pathogen_01","75",2842,999772,0.28426481
"1095","Bacillus cereus",12.0639534883721,"NZ_CP125992.1","throat_with_pathogen_01","75",688,999772,0.06881569
"1096","Clostridium scatologenes",82.8318584070797,"NZ_CP009933.1","throat_with_pathogen_01","75",11300,999772,1.1302577
"1097","Sporomusa termitida",99.8811645870469,"NZ_CP036259.1","throat_with_pathogen_01","75",3366,999772,0.33667676
"1098","Stutzerimonas stutzeri",77.8839922229423,"NZ_CP104580.1","throat_with_pathogen_01","75",6172,999772,0.61734075
"1099","Actinomyces qiguomingii",99.4600431965443,"NZ_CP025228.1","throat_with_pathogen_01","75",926,999772,0.09262112
"1100","Actinomyces sp. oral taxon 414",98.4214390602056,"NZ_CP012590.1","throat_with_pathogen_01","75",2724,999772,0.27246212
"1101","Prevotella intermedia",93.002915451895,"NZ_CP024696.1","throat_with_pathogen_01","75",1372,999772,0.13723129
"1102","Limosilactobacillus fermentum",93.7027707808564,"NZ_CP089305.1","throat_with_pathogen_01","75",397,999772,0.03970905
"1103","Boudabousia tangfeifanii",99.8635743519782,"NZ_CP017812.1","throat_with_pathogen_01","75",2932,999772,0.29326686
"1104","Treponema vincentii",53.8600860312429,"NZ_CP050497.1","throat_with_pathogen_01","75",4417,999772,0.44180073
"1105","Leptotrichia sp. oral taxon 847",88.4127942063971,"NZ_CP014231.1","throat_with_pathogen_01","75",1657,999772,0.16573779
"1106","Peptoniphilus harei",90.0144717800289,"NZ_CP068103.1","throat_with_pathogen_01","75",691,999772,0.06911576
"1107","Bacteroides ovatus",40.0778210116732,"NZ_CP072244.1","throat_with_pathogen_01","75",5140,999772,0.51411722
"1108","Actinomyces sp. Chiba101",98.0327868852459,"NZ_AP017896.1","throat_with_pathogen_01","75",2135,999772,0.21354869
"1109","Flaviflexus ciconiae",99.6882793017456,"NZ_CP034593.1","throat_with_pathogen_01","75",11228,999772,1.12305606
"1110","Ligilactobacillus salivarius",97.3023255813953,"NZ_CP123971.1","throat_with_pathogen_01","75",1075,999772,0.10752452
"1111","Schaalia meyeri",99.3911719939117,"NZ_CP066065.1","throat_with_pathogen_01","75",657,999772,0.06571498
"1112","[Clostridium] scindens",98.9247311827957,"NZ_AP025569.1","throat_with_pathogen_01","75",558,999772,0.05581273
"1113","Leptotrichia wadei",87.7351392024078,"NZ_AP019829.2","throat_with_pathogen_01","75",2658,999772,0.26586062
"1114","Bacteroides caccae",84.0885506745071,"NZ_CP072258.1","throat_with_pathogen_01","75",5782,999772,0.57833186
"1115","Niallia circulans",96.6153846153846,"NZ_CP053315.1","throat_with_pathogen_01","75",650,999772,0.06501482
"1116","Streptococcus gordonii",96.1715867158672,"NZ_CP017295.1","throat_with_pathogen_01","75",2168,999772,0.21684944
"1117","Campylobacter gracilis",99.6496009343975,"NZ_CP012196.1","throat_with_pathogen_01","75",5137,999772,0.51381715
"1118","Aerococcus christensenii",97.9020979020979,"NZ_CP118095.1","throat_with_pathogen_01","75",4719,999772,0.47200762
"1119","Selenomonas sp. oral taxon 136",85.996705107084,"NZ_CP014239.1","throat_with_pathogen_01","75",2428,999772,0.24285537
"1120","Vagococcus teuberi",94.3490304709141,"NZ_CP017267.1","throat_with_pathogen_01","75",1805,999772,0.18054116
"1121","Finegoldia magna",92.1211304611446,"NZ_CP054000.1","throat_with_pathogen_01","75",29687,999772,2.96937702
"1122","Campylobacter concisus",99.4075829383886,"NZ_CP049272.1","throat_with_pathogen_01","75",2532,999772,0.25325774
"1123","Olsenella sp. oral taxon 807",100,"NZ_CP012069.2","throat_with_pathogen_01","75",195,999772,0.01950445
"1124","Fusobacterium hwasookii",66.3262411347518,"NZ_CP013334.1","throat_with_pathogen_01","75",3525,999772,0.35258039
"1125","Fusobacterium necrophorum",99.0300678952473,"NZ_CP034842.1","throat_with_pathogen_01","75",2062,999772,0.20624702
"1126","Paenibacillus polymyxa",91.1966262519768,"NZ_CP097775.1","throat_with_pathogen_01","75",1897,999772,0.18974326
"1127","Gemella morbillorum",90.0311526479751,"NZ_CP046314.1","throat_with_pathogen_01","75",321,999772,0.03210732
"1128","Carnobacterium divergens",99.0729295426452,"NZ_CP016843.1","throat_with_pathogen_01","75",4854,999772,0.4855107
"1129","Enterococcus mundtii",97.9476291578202,"NZ_CP029066.1","throat_with_pathogen_01","75",1413,999772,0.14133222
"1130","Lysinibacillus sphaericus",95.0338600451467,"NZ_CP124202.1","throat_with_pathogen_01","75",443,999772,0.0443101
"1131","Clostridium perfringens",56.7256637168142,"NZ_CP116438.1","throat_with_pathogen_01","75",1130,999772,0.11302577
"1132","Fusobacterium periodonticum",46.8959550075708,"NZ_CP028108.1","throat_with_pathogen_01","75",4623,999772,0.46240543
"1133","Anaerostipes hadrus",94.1347905282332,"NZ_CP012098.1","throat_with_pathogen_01","75",2745,999772,0.2745626
"1134","Micrococcus luteus",65.1429291021282,"NZ_CP035298.1","throat_with_pathogen_01","75",7941,999772,0.7942811
"1135","Clostridium saccharobutylicum",98.6441920117259,"NZ_CP016089.1","throat_with_pathogen_01","75",2729,999772,0.27296224
"1136","Leptotrichia trevisanii",91.160809371672,"NZ_AP019831.1","throat_with_pathogen_01","75",939,999772,0.09392141
"1137","Actinomyces sp. Z16",98.5365853658537,"NZ_CP027862.1","throat_with_pathogen_01","75",410,999772,0.04100935
"1138","Lactococcus lactis",82.1201148707704,"NZ_CP015905.2","throat_with_pathogen_01","75",8009,999772,0.80108265
"1139","Actinomyces radicidentis",98.7483085250338,"NZ_CP014228.1","throat_with_pathogen_01","75",2956,999772,0.29566741
"1140","Clostridium baratii",98.7635239567233,"NZ_CP006905.1","throat_with_pathogen_01","75",1294,999772,0.12942951
"1141","Blautia argi",94.0225678560537,"NZ_CP030280.1","throat_with_pathogen_01","75",3279,999772,0.32797478
"1142","Gardnerella vaginalis",96.0310897965933,"NZ_CP083175.1","throat_with_pathogen_01","75",12094,999772,1.20967581
"1143","Actinomyces sp. 432",99.3027309703661,"NZ_CP025249.1","throat_with_pathogen_01","75",1721,999772,0.17213925
"1144","Capnocytophaga gingivalis",98.58310626703,"NZ_CP022386.1","throat_with_pathogen_01","75",5505,999772,0.55062554
"1145","Blautia sp. SC05B48",75.7751937984496,"NZ_CP040518.1","throat_with_pathogen_01","75",2580,999772,0.25805884
"1146","Lacticaseibacillus rhamnosus",98.0954290296712,"NZ_CP125315.1","throat_with_pathogen_01","75",4988,999772,0.49891375
"1147","Porphyromonas gingivalis",97.634691195795,"NZ_CP126983.1","throat_with_pathogen_01","75",2283,999772,0.22835206
"1148","Faecalibacterium prausnitzii",92.282019190655,"NZ_CP026548.1","throat_with_pathogen_01","75",4794,999772,0.47950933
"1149","Streptococcus gallolyticus",73.4375,"NZ_CP054015.1","throat_with_pathogen_01","75",256,999772,0.02560584
"1150","Corynebacterium diphtheriae",97.3973973973974,"NZ_CP038504.1","throat_with_pathogen_01","75",1998,999772,0.19984556
"1151","Marinilactibacillus sp. 15R",97.4630021141649,"NZ_CP017761.1","throat_with_pathogen_01","75",473,999772,0.04731079
"1152","Escherichia coli",13.7479541734861,"NZ_CP070914.1","throat_with_pathogen_01","75",3666,999772,0.3666836
"1153","Pseudomonas aeruginosa",31.0121107266436,"NZ_CP127126.1","throat_with_pathogen_01","75",2312,999772,0.23125273
"1154","Clostridium botulinum",89.7363465160075,"NZ_CP050820.1","throat_with_pathogen_01","75",1062,999772,0.10622422
"1155","Selenomonas sp. oral taxon 920",98.8641895180918,"NZ_CP017042.1","throat_with_pathogen_01","75",6163,999772,0.61644055
"1156","Priestia megaterium",26.5366430260047,"NZ_CP120618.1","throat_with_pathogen_01","75",1692,999772,0.16923859
"1157","Acidipropionibacterium acidipropionici",95.707656612529,"NZ_CP031057.1","throat_with_pathogen_01","75",862,999772,0.08621966
"1158","Candidatus Nanosynbacter featherlites",99.2391304347826,"NZ_CP040004.1","throat_with_pathogen_01","75",2760,999772,0.27606294
"1159","Streptococcus constellatus",37.9638439581351,"NZ_AP014647.1","throat_with_pathogen_01","75",1051,999772,0.10512397
"1160","Rothia mucilaginosa",99.573905377608,"NZ_AP014938.1","throat_with_pathogen_01","75",6806,999772,0.68075521
"1161","Clostridium pasteurianum",99.1311659192825,"NZ_CP009268.1","throat_with_pathogen_01","75",3568,999772,0.35688137
"1162","Haemophilus haemolyticus",86.8074430273887,"NZ_CP031243.1","throat_with_pathogen_01","75",4783,999772,0.47840908
"1163","Clostridioides difficile",96.0324825986079,"NZ_CP126076.1","throat_with_pathogen_01","75",17240,999772,1.72439316
"1164","Gemella haemolysans",98.4514416340978,"NZ_CP083637.1","throat_with_pathogen_01","75",13561,999772,1.35640926
"1165","Clostridium beijerinckii",49.5630461922597,"NZ_CP073653.1","throat_with_pathogen_01","75",801,999772,0.08011827
"1166","Ruminococcus bovis",99.5373048004627,"NZ_CP039381.1","throat_with_pathogen_01","75",1729,999772,0.17293943
"1167","Dermabacter vaginalis",94.0928270042194,"NZ_CP012117.1","throat_with_pathogen_01","75",1422,999772,0.14223243
"1168","Aerococcus urinaeequi",95.2061361457335,"NZ_CP014162.1","throat_with_pathogen_01","75",6258,999772,0.62594271
"1169","Tannerella serpentiformis",99.8212918049528,"NZ_CP017038.2","throat_with_pathogen_01","75",3917,999772,0.39178933
"1170","Streptococcus marmotae",93.8542581211589,"NZ_CP015196.1","throat_with_pathogen_01","75",1139,999772,0.11392598
"1171","Capnocytophaga sp. oral taxon 864",55.4526748971193,"NZ_CP027232.1","throat_with_pathogen_01","75",972,999772,0.09722217
"1172","Bacteroides uniformis",64.5107794361526,"NZ_CP072236.1","throat_with_pathogen_01","75",1206,999772,0.1206275
"1173","Gemella sanguinis",97.4465558194774,"NZ_CP046313.1","throat_with_pathogen_01","75",1684,999772,0.1684384
"1174","Streptococcus pyogenes",82.4789097988319,"NZ_CP035439.1","throat_with_pathogen_01","75",3082,999772,0.30827029
"1175","Trueperella pyogenes",99.0329558467999,"NZ_CP123403.1","throat_with_pathogen_01","75",7859,999772,0.78607923
"1176","Capnocytophaga sp. FDAARGOS_737",91.8678526048285,"NZ_CP046316.1","throat_with_pathogen_01","75",787,999772,0.07871795
"1177","Veillonella atypica",98.2285031847134,"NZ_CP020566.1","throat_with_pathogen_01","75",5024,999772,0.50251457
"1178","Prevotella denticola",92.0064377682403,"NZ_CP072373.1","throat_with_pathogen_01","75",1864,999772,0.18644251
"1179","Alteromonas australica",56.8997334426902,"NZ_CP008849.1","throat_with_pathogen_01","75",4877,999772,0.48781122
"1180","Actinomyces naeslundii",87.2218788627936,"NZ_AP025697.1","throat_with_pathogen_01","75",6472,999772,0.6473476
"1181","Arachnia propionica",99.549715125896,"NZ_CP072385.1","throat_with_pathogen_01","75",10882,999772,1.08844817
"1182","Campylobacter jejuni",18.1628392484342,"NZ_CP017031.1","throat_with_pathogen_01","75",479,999772,0.04791092
"1183","Pseudomonas hormoni",89.598633646456,"NZ_CP075566.1","throat_with_pathogen_01","75",5855,999772,0.58563352
"1184","Bacteroides thetaiotaomicron",85.1851851851852,"NZ_CP072224.1","throat_with_pathogen_01","75",783,999772,0.07831786
"1185","Aminipila terrae",99.7272727272727,"NZ_CP047591.1","throat_with_pathogen_01","75",1100,999772,0.11002509
"1186","Helicobacter pylori",99.6268656716418,"NZ_CP071986.1","throat_with_pathogen_01","75",1072,999772,0.10722445
"1187","Haemophilus influenzae",78.1258191349934,"NZ_AP018768.1","throat_with_pathogen_01","75",7630,999772,0.763174
"1188","Lactobacillus iners",98.6072423398329,"NZ_CP049226.1","throat_with_pathogen_01","75",1436,999772,0.14363275
"1189","Rhodopseudomonas palustris",99.3794326241135,"NZ_CP116810.1","throat_with_pathogen_01","75",1128,999772,0.11282572
"1190","Staphylococcus xylosus",95.1735817104149,"NZ_CP008724.1","throat_with_pathogen_01","75",2362,999772,0.23625387
"1191","Pseudomonas putida",16.6062801932367,"NZ_CP047311.1","throat_with_pathogen_01","75",1656,999772,0.16563777
"1192","Enterococcus hirae",92.1610169491525,"NZ_CP072891.1","throat_with_pathogen_01","75",2360,999772,0.23605382
"1193","Actinomyces sp. oral taxon 897",60.9195402298851,"NZ_CP027236.1","throat_with_pathogen_01","75",348,999772,0.03480794
"1194","Actinomyces procaprae",97.558494404883,"NZ_CP039292.1","throat_with_pathogen_01","75",3932,999772,0.39328967
"1195","Macrococcoides canis",96.0328317373461,"NZ_CP073804.1","throat_with_pathogen_01","75",2193,999772,0.21935001
"1196","Riemerella anatipestifer",98.8636363636364,"NZ_CP121210.1","throat_with_pathogen_01","75",1056,999772,0.10562408
"1197","Enterococcus thailandicus",97.4716652136007,"NZ_CP023074.1","throat_with_pathogen_01","75",2294,999772,0.22945232
"1198","Mogibacterium diversum",98.5443959243086,"NZ_CP027228.1","throat_with_pathogen_01","75",1374,999772,0.13743133
"1199","Streptococcus iniae",97.289156626506,"NZ_CP125107.1","throat_with_pathogen_01","75",1660,999772,0.16603786
"1200","Staphylococcus epidermidis",93.4481310373793,"NZ_CP102567.2","throat_with_pathogen_01","75",2381,999772,0.2381543
"1201","Dialister pneumosintes",99.8452456009629,"NZ_CP017037.1","throat_with_pathogen_01","75",17447,999772,1.74509788
"1202","Leuconostoc mesenteroides",95.0900163666121,"NZ_CP065995.1","throat_with_pathogen_01","75",2444,999772,0.24445574
"1203","Capnocytophaga sputigena",95.7855973813421,"NZ_CP022379.1","throat_with_pathogen_01","75",2444,999772,0.24445574
"1204","Mobiluncus curtisii",98.7012987012987,"NZ_CP068112.1","throat_with_pathogen_01","75",3080,999772,0.30807024
"1205","Phocaeicola dorei",75.2695572378986,"NZ_CP072246.1","throat_with_pathogen_01","75",4359,999772,0.43599941
"1206","Schaalia odontolytica",99.0804597701149,"NZ_CP046315.1","throat_with_pathogen_01","75",870,999772,0.08701984
"1207","Clostridium saccharoperbutylacetonicum",99.2559523809524,"NZ_CP016087.1","throat_with_pathogen_01","75",672,999772,0.06721533
"1208","Bacteroides zoogleoformans",89.7284887203035,"NZ_CP027231.1","throat_with_pathogen_01","75",10018,999772,1.00202846
"1209","Streptococcus phage PH10",98.0063958631013,"NC_012756.1","throat_with_pathogen_01","75",14697,999772,1.47003517
"1210","Cutibacterium avidum",98.6645718774548,"NZ_CP069240.1","throat_with_pathogen_01","75",1273,999772,0.12732903
"1211","Haemophilus parainfluenzae",97.8181818181818,"NZ_CP125087.1","throat_with_pathogen_01","75",1650,999772,0.16503763
"1212","Staphylococcus aureus",14.2053445850914,"NZ_CP127017.1","throat_with_pathogen_01","75",2844,999772,0.28446486
"1213","Leptotrichia shahii",83.7488869100623,"NZ_AP019827.1","throat_with_pathogen_01","75",2246,999772,0.22465122
"1214","Lactobacillus johnsonii",94.6628641271135,"NZ_CP084221.1","throat_with_pathogen_01","75",4909,999772,0.49101195
"1215","Histophilus somni",96.474358974359,"NZ_CP066560.1","throat_with_pathogen_01","75",3432,999772,0.34327827
"1216","Glaesserella parasuis",95.2885747938751,"NZ_CP121769.1","throat_with_pathogen_01","75",5094,999772,0.50951617
"1217","Aggregatibacter aphrophilus",97.5250131648236,"NZ_CP012067.1","throat_with_pathogen_01","75",1899,999772,0.18994331
"1218","Streptococcus pneumoniae",81.8708609271523,"NZ_CP107038.1","throat_with_pathogen_01","75",1208,999772,0.12082755
