"","species","species_sensitivity","accession_id","sample_name","read_length","total_reads","sum_reads","taxon_abundance"
"244","Sinsheimervirus phiX174",0,"NC_001422.1","throat_non_pathogen_03","300",20946,996504,2.10194841
"245","Mogibacterium diversum",99.7908227148855,"NZ_CP027228.1","throat_non_pathogen_03","300",135770,996504,13.62463171
"246","Prevotella denticola",96.8115722508331,"NZ_CP072373.1","throat_non_pathogen_03","300",13204,996504,1.32503231
"247","Capnocytophaga sp. oral taxon 864",91.1139909984063,"NZ_CP027232.1","throat_non_pathogen_03","300",57101,996504,5.73013254
"248","Haemophilus sp. oral taxon 036",97.9966917845984,"NZ_CP027235.1","throat_non_pathogen_03","300",10882,996504,1.09201769
"249","Campylobacter showae",99.8324324324324,"NZ_CP012544.1","throat_non_pathogen_03","300",18500,996504,1.85649029
"250","Tequatrovirus T4",78.3543440365814,"NC_000866.4","throat_non_pathogen_03","300",118749,996504,11.91656029
"251","Leptotrichia wadei",98.9422932047612,"NZ_AP019829.2","throat_non_pathogen_03","300",66370,996504,6.66028435
"252","Methanothermobacter phage psiM100",2.57338423061735,"NC_002628.3","throat_non_pathogen_03","300",197522,996504,19.82149595
"253","Alteromonas australica",92.7854824431986,"NZ_CP008849.1","throat_non_pathogen_03","300",20334,996504,2.04053371
"254","Veillonella atypica",99.867617107943,"NZ_CP020566.1","throat_non_pathogen_03","300",29460,996504,2.95633535
"255","Lachnoanaerobaculum umeaense",99.9658989187115,"NZ_CP032364.1","throat_non_pathogen_03","300",70379,996504,7.06259082
"256","Treponema vincentii",83.4956230943248,"NZ_CP050497.1","throat_non_pathogen_03","300",10167,996504,1.02026685
"257","Limosilactobacillus fermentum",99.1351782863225,"NZ_CP089305.1","throat_non_pathogen_03","300",15032,996504,1.50847362
"258","Streptococcus gwangjuense",94.5233018580567,"NZ_CP032621.1","throat_non_pathogen_03","300",16415,996504,1.64725882
"259","Rothia dentocariosa",99.4222436206066,"NZ_CP054018.1","throat_non_pathogen_03","300",14539,996504,1.45900067
"260","Zymomonas mobilis",99.7050147492625,"NZ_CP083898.1","throat_non_pathogen_03","75",26103,999946,2.61044096
"261","Fusobacterium pseudoperiodonticum",74.3857201737421,"NZ_CP024700.1","throat_non_pathogen_03","75",31541,999946,3.15427033
"262","Neisseria elongata",94.9498504311103,"NZ_CP031255.1","throat_non_pathogen_03","75",22732,999946,2.27332276
"263","Selenomonas sp. oral taxon 136",85.7261756138161,"NZ_CP014239.1","throat_non_pathogen_03","75",36045,999946,3.60469465
"264","Burkholderia cenocepacia",43.2373945033543,"NZ_CP019668.1","throat_non_pathogen_03","75",4621,999946,0.46212495
"265","Cutibacterium acnes",98.3408135138001,"NZ_CP126745.1","throat_non_pathogen_03","75",56594,999946,5.65970562
"266","Gemella sanguinis",97.6652740231015,"NZ_CP046313.1","throat_non_pathogen_03","75",4069,999946,0.40692197
"267","Sinsheimervirus phiX174",0,"NC_001422.1","throat_non_pathogen_03","75",21021,999946,2.10221352
"268","Mogibacterium diversum",98.3377244805848,"NZ_CP027228.1","throat_non_pathogen_03","75",136259,999946,13.62663584
"269","Prevotella denticola",92.5073568248698,"NZ_CP072373.1","throat_non_pathogen_03","75",13253,999946,1.32537157
"270","Capnocytophaga sp. oral taxon 864",54.0296684118674,"NZ_CP027232.1","throat_non_pathogen_03","75",57300,999946,5.73030944
"271","Haemophilus sp. oral taxon 036",82.7838827838828,"NZ_CP027235.1","throat_non_pathogen_03","75",10920,999946,1.09205897
"272","Campylobacter showae",98.923863330643,"NZ_CP012544.1","throat_non_pathogen_03","75",18585,999946,1.85860036
"273","Tequatrovirus T4",38.1630186652343,"NC_000866.4","throat_non_pathogen_03","75",119152,999946,11.91584346
"274","Leptotrichia wadei",88.2026099623072,"NZ_AP019829.2","throat_non_pathogen_03","75",66591,999946,6.65945961
"275","Methanothermobacter phage psiM100",0.75821015991525,"NC_002628.3","throat_non_pathogen_03","75",198230,999946,19.8240705
"276","Alteromonas australica",58.9625416748382,"NZ_CP008849.1","throat_non_pathogen_03","75",20396,999946,2.03971014
"277","Veillonella atypica",98.1147402267727,"NZ_CP020566.1","throat_non_pathogen_03","75",29545,999946,2.95465955
"278","Lachnoanaerobaculum umeaense",98.7882048160365,"NZ_CP032364.1","throat_non_pathogen_03","75",70639,999946,7.06428147
"279","Treponema vincentii",54.3218345746766,"NZ_CP050497.1","throat_non_pathogen_03","75",10204,999946,1.0204551
"280","Limosilactobacillus fermentum",95.1130561633844,"NZ_CP089305.1","throat_non_pathogen_03","75",15081,999946,1.50818144
"281","Streptococcus gwangjuense",75.2793296089386,"NZ_CP032621.1","throat_non_pathogen_03","75",16468,999946,1.64688893
"282","Rothia dentocariosa",97.8831266698637,"NZ_CP054018.1","throat_non_pathogen_03","75",14597,999946,1.45977883
"283","Chryseobacterium indologenes",97.7122521606507,"NZ_CP120209.1","throat_non_pathogen_04","150",1967,999953,0.19670925
"284","Ruminococcus bovis",99.8731501057082,"NZ_CP039381.1","throat_non_pathogen_04","150",7095,999953,0.70953335
"285","Burkholderia cenocepacia",62.9844097995546,"NZ_CP019668.1","throat_non_pathogen_04","150",4490,999953,0.4490211
"286","Paenibacillus polymyxa",96.1160125747896,"NZ_CP097775.1","throat_non_pathogen_04","150",9861,999953,0.98614635
"287","Selenomonas sp. oral taxon 920",99.5729768618441,"NZ_CP017042.1","throat_non_pathogen_04","150",43089,999953,4.30910253
"288","Megamonas funiformis",99.8506348020911,"NZ_CP084018.1","throat_non_pathogen_04","150",1339,999953,0.13390629
"289","Mobiluncus curtisii",99.0061623972934,"NZ_CP068112.1","throat_non_pathogen_04","150",33104,999953,3.3105556
"290","Candidatus Nanosynbacter featherlites",99.4706771971097,"NZ_CP040004.1","throat_non_pathogen_04","150",11902,999953,1.19025594
"291","Vansinderenvirus 5093",67.9492915734527,"NC_012753.1","throat_non_pathogen_04","150",6705,999953,0.67053151
"292","Dermabacter vaginalis",97.4822974036192,"NZ_CP012117.1","throat_non_pathogen_04","150",2542,999953,0.25421195
"293","Mogibacterium diversum",99.4415854593233,"NZ_CP027228.1","throat_non_pathogen_04","150",36532,999953,3.65337171
"294","Streptomyces venezuelae",97.1193935565382,"NZ_CP029197.1","throat_non_pathogen_04","150",7915,999953,0.7915372
"295","Jonesia denitrificans",99.9415861604134,"NZ_CP077403.1","throat_non_pathogen_04","150",22255,999953,2.2256046
"296","Sinsheimervirus phiX174",0,"NC_001422.1","throat_non_pathogen_04","150",9414,999953,0.94144425
"297","Duncaniella sp. B8",1.44958892254435,"NZ_CP040121.1","throat_non_pathogen_04","150",4622,999953,0.46222172
"298","Tequatrovirus T4",61.466415041588,"NC_000866.4","throat_non_pathogen_04","150",14307,999953,1.43076725
"299","Phocaeicola dorei",82.8433268858801,"NZ_CP072246.1","throat_non_pathogen_04","150",10340,999953,1.0340486
"300","Sporosarcina ureae",99.7581985794167,"NZ_CP015348.1","throat_non_pathogen_04","150",6617,999953,0.6617311
"301","Helicobacter pylori",99.9104251360849,"NZ_CP071986.1","throat_non_pathogen_04","150",14513,999953,1.45136821
"302","Corynebacterium matruchotii",100,"NZ_CP050134.2","throat_non_pathogen_04","150",2544,999953,0.25441196
"303","Olsenella sp. oral taxon 807",100,"NZ_CP012069.2","throat_non_pathogen_04","150",18435,999953,1.84358665
"304","Streptococcus phage PH10",99.7508719481814,"NC_012756.1","throat_non_pathogen_04","150",4014,999953,0.40141887
"305","Paraclostridium sordellii",99.2354679802956,"NZ_CP014150.1","throat_non_pathogen_04","150",25375,999953,2.53761927
"306","Brevibacterium linens",95.8425522803512,"NZ_CP026734.1","throat_non_pathogen_04","150",28022,999953,2.80233171
"307","Veillonella atypica",99.6861924686193,"NZ_CP020566.1","throat_non_pathogen_04","150",1912,999953,0.19120899
"308","Brochothrix thermosphacta",99.9024072869226,"NZ_CP016839.1","throat_non_pathogen_04","150",3074,999953,0.30741445
"309","Pseudomonas putida",26.0035893076414,"NZ_CP047311.1","throat_non_pathogen_04","150",10587,999953,1.05874976
"310","Leuconostoc mesenteroides",97.9566563467492,"NZ_CP065995.1","throat_non_pathogen_04","150",9690,999953,0.96904555
"311","Rhodopseudomonas palustris",99.9030498889113,"NZ_CP116810.1","throat_non_pathogen_04","150",24755,999953,2.47561635
"312","Propionibacterium acidifaciens",99.9441444796127,"NZ_CP033719.1","throat_non_pathogen_04","150",10742,999953,1.07425049
"313","Fusobacterium ulcerans",98.4510370175899,"NZ_CP028105.1","throat_non_pathogen_04","150",3809,999953,0.3809179
"314","Alteromonas australica",80.7053941908714,"NZ_CP008849.1","throat_non_pathogen_04","150",17352,999953,1.73528156
"315","Rothia aeria",99.7977982475848,"NZ_CP068102.1","throat_non_pathogen_04","150",4451,999953,0.44512092
"316","Jeotgalibaca ciconiae",98.5007808433108,"NZ_CP034465.1","throat_non_pathogen_04","150",9605,999953,0.96054515
"317","Sporomusa termitida",100,"NZ_CP036259.1","throat_non_pathogen_04","150",2012,999953,0.20120946
"318","Georgenia yuyongxinii",99.9311565696302,"NZ_CP040915.1","throat_non_pathogen_04","150",10168,999953,1.01684779
"319","Treponema vincentii",72.066638265432,"NZ_CP050497.1","throat_non_pathogen_04","150",44599,999953,4.46010963
"320","Bifidobacterium longum",91.547195053604,"NZ_CP040235.1","throat_non_pathogen_04","150",110626,999953,11.06311997
"321","Eggerthella lenta",99.0736806322767,"NZ_AP025575.1","throat_non_pathogen_04","150",11767,999953,1.17675531
