accession_id,total_reads,genus,genus_taxid,genus_accuracy,genus_sensitivity,genus_specificity,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_accuracy,species_sensitivity,species_specificity,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP041379.1,30181,Bacteroides,816,0.999651261371585,0.9808157450051357,0.9999404756756647,29602,1965466,117,579,Bacteroides intestinalis,329854,0.9982828631040543,0.886451741161658,1.0,26754,1965583,0,3427
NZ_CP065983.1,7780,Aggregatibacter,416916,0.9998496816256832,0.9634961439588688,0.999991951645486,7496,1987968,16,284,Aggregatibacter segnis,739,0.9986346080999557,0.6498714652956298,0.9999994969778428,5056,1987983,1,2724
NZ_CP032364.1,354775,Lachnoanaerobaculum,1164882,0.994861616904604,0.9710971742653794,0.9999993906113935,344521,1640988,1,10254,Lachnoanaerobaculum umeaense,617123,0.994861616904604,0.9710971742653794,0.9999993906113935,344521,1640988,1,10254
NZ_CP033459.1,14732,Pseudoprevotella,2884814,0.9998667177081058,0.9820119467825142,0.9999994952125962,14467,1981031,1,265,Pseudoprevotella muciniphila,2133944,0.9998667177081058,0.9820119467825142,0.9999994952125962,14467,1981031,1,265
NZ_CP015402.2,2683,Muribaculum,1918540,0.9999518981202187,0.9668281774133433,0.9999964878497161,2594,1993074,7,89,Muribaculum intestinale,1796646,0.9999388705277779,0.9567648155050317,0.9999969895854709,2567,1993075,6,116
NZ_CP073277.1,49969,Clostridium,1485,0.9985484255653474,0.9427445015909864,0.999981498564854,47108,1945759,36,2861,Clostridium butyricum,1492,0.9833657686981025,0.3356481018231303,0.9999994860712459,16772,1945794,1,33197
NZ_CP050134.2,30390,Corynebacterium,1716,0.9998832527292806,0.9923659098387627,0.9999994911909896,30158,1965373,1,232,Corynebacterium matruchotii,43768,0.9998707261980876,0.9915103652517275,1.0,30132,1965374,0,258
NZ_CP027235.1,33010,Haemophilus,724,0.9994287901775961,0.966525295365041,0.9999821679130446,31905,1962719,35,1105,Haemophilus sp. oral taxon 036,712310,0.9943289887982747,0.6571342017570433,1.0,21692,1962754,0,11318
NZ_CP046027.1,1780,Neisseria,482,0.9999679320801458,0.9668539325842697,0.9999974924573116,1721,1993979,5,59,Neisseria brasiliensis,2666100,0.9999278471803279,0.9196629213483146,0.9999994984914623,1637,1993983,1,143
NZ_AP019822.1,4790,Pseudoleptotrichia,2755140,0.9997043738638436,0.878705636743215,0.9999954795994322,4209,1990965,9,581,Pseudoleptotrichia goodfellowii,157692,0.9997043738638436,0.878705636743215,0.9999954795994322,4209,1990965,9,581
NZ_CP040121.1,10318,Duncaniella,2518495,0.9998406625232242,0.9694708276797829,0.9999984890044856,10003,1985443,3,315,Duncaniella sp. B8,2576606,0.9948596126596131,0.005718162434580345,1.0,59,1985446,0,10259
NZ_AP025240.1,107699,Phocaeicola,909656,0.9956613106559693,0.9196464219723489,0.9999973517860878,99045,1888060,5,8654,Phocaeicola vulgatus,821,0.9838858702732387,0.7013992701882097,0.9999994703572176,75540,1888064,1,32159
NZ_AP019735.1,22767,Alistipes,239759,0.9996232019417125,0.9671454297887293,0.9999979726274293,22019,1972993,4,748,Alistipes communis,2585118,0.9994312954838348,0.950191066016603,0.9999994931568573,21633,1972996,1,1134
NZ_CP022022.1,104218,Capnocytophaga,1016,0.9987273044307844,0.9756759868736686,0.999997356659579,101683,1891541,5,2535,Capnocytophaga endodontalis,2708117,0.9877455450644465,0.7653380414131916,0.9999994713319158,79762,1891545,1,24456
NZ_CP127164.1,32730,Bacillus,1386,0.9997169003950367,0.983348609838069,0.9999898116894562,32185,1963014,20,545,Bacillus velezensis,492670,0.9838703373745593,0.016468072105102354,1.0,539,1963034,0,32191
NZ_CP045696.1,28295,Sodaliphilus,2815786,0.9996592783515486,0.9759674854214525,1.0,27615,1967469,0,680,Sodaliphilus pleomorphus,2606626,0.9996592783515486,0.9759674854214525,1.0,27615,1967469,0,680
NZ_AP019831.1,188070,Leptotrichia,32067,0.9881884832074334,0.8747753496038709,0.9999878297986274,164519,1807672,22,23551,Leptotrichia trevisanii,109328,0.9776105792067599,0.7624129313553464,0.9999994468090285,143387,1807693,1,44683
NZ_CP046313.1,34199,Gemella,1378,0.998652145243626,0.9218105792567034,0.9999918432476109,31525,1961549,16,2674,Gemella sanguinis,84135,0.9982688333891182,0.8989736542004152,1.0,30744,1961565,0,3455
NZ_CP066560.1,17595,Histophilus,214906,0.9994177668301463,0.9341290139244104,0.9999984834460555,16436,1978166,3,1159,Histophilus somni,731,0.9994177668301463,0.9341290139244104,0.9999984834460555,16436,1978166,3,1159
NZ_CP072373.1,14001,Prevotella,838,0.999665792147769,0.9708592243411185,0.9998693082876207,13593,1981504,259,408,Prevotella denticola,28129,0.998946769257287,0.8515820298550103,0.9999878895710537,11923,1981739,24,2078
NZ_CP020566.1,13839,Veillonella,29465,0.9999143185266394,0.9882216923188092,0.9999959635203148,13676,1981917,8,163,Veillonella atypica,39777,0.99964574969786,0.9489124936772888,1.0,13132,1981925,0,707
NZ_CP121210.1,42570,Riemerella,34084,0.9985920178938993,0.9339910735259572,1.0,39760,1953194,0,2810,Riemerella anatipestifer,34085,0.9985920178938993,0.9339910735259572,1.0,39760,1953194,0,2810
