accession_id,total_reads,genus,genus_taxid,genus_accuracy,genus_sensitivity,genus_specificity,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_accuracy,species_sensitivity,species_specificity,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP054494.1,14904,Flavobacterium,237,0.9995462913200767,0.9453837895866881,0.9999540350182445,14090,1979677,91,814,Flavobacterium columnare,996,0.9985812203710686,0.8101851851851852,0.9999994948903104,12075,1979767,1,2829
NZ_CP012672.1,28483,Sorangium,39643,0.9987185863139403,0.9104026963451883,0.9999979656075789,25931,1966185,4,2552,Sorangium cellulosum,56,0.9862067547947733,0.034195836112769024,0.9999979656075789,974,1966185,4,27509
NZ_CP029033.1,12262,Actinobaculum,76833,0.9999613971620397,0.9937204371228184,1.0,12185,1982410,0,77,Actinobaculum sp. 313,2495645,0.9999613971620397,0.9937204371228184,1.0,12185,1982410,0,77
NZ_CP032819.1,8009,Butyricimonas,574697,0.9994575549263237,0.8649019852665751,1.0,6927,1986663,0,1082,Butyricimonas faecalis,2093856,0.9994089253772048,0.8527906105631164,1.0,6830,1986663,0,1179
NZ_CP027228.1,31969,Mogibacterium,86331,0.999646057096104,0.9779161062279083,1.0,31263,1962703,0,706,Mogibacterium diversum,114527,0.9994715923219457,0.9670305608558291,1.0,30915,1962703,0,1054
NZ_CP040915.1,103080,Georgenia,154116,0.9982197574338036,0.965570430733411,0.999998942689544,99531,1891590,2,3549,Georgenia yuyongxinii,2589797,0.9981626051802001,0.9644547923942569,0.9999994713447721,99416,1891591,1,3664
NZ_CP066811.1,8380,Peptacetobacter,2743582,0.999646558431662,0.915871121718377,1.0,7675,1986292,0,705,Peptacetobacter hiranonis,89152,0.999646558431662,0.915871121718377,1.0,7675,1986292,0,705
NZ_CP116810.1,100288,Rhodopseudomonas,1073,0.9988108320565988,0.976358088704531,0.9999994721239199,97917,1894383,1,2371,Rhodopseudomonas palustris,1076,0.9987827572653549,0.9757996968730057,0.9999994721239199,97861,1894383,1,2427
NZ_CP017761.1,63604,Marinilactibacillus,191769,0.9985586602709619,0.9547984403496635,1.0,60729,1931068,0,2875,Marinilactibacillus sp. 15R,1911586,0.9985586602709619,0.9547984403496635,1.0,60729,1931068,0,2875
NZ_CP050497.1,74758,Treponema,157,0.9994640722885768,0.985700527033896,1.0,73689,1919914,0,1069,Treponema vincentii,69710,0.97688040941067,0.38312956472885845,1.0,28642,1919914,0,46116
NZ_CP015348.1,56140,Sporosarcina,1569,0.9997092253764027,0.9897221232632704,0.9999984524372051,55563,1938529,3,577,Sporosarcina ureae,1571,0.999598931553659,0.9857499109369433,1.0,55340,1938532,0,800
NZ_CP027286.1,35109,Clostridium,1485,0.9986343619402087,0.9232105727876043,0.9999857110998728,32413,1959535,28,2696,Clostridium chauvoei,46867,0.9981911813070019,0.8972343273804437,1.0,31501,1959563,0,3608
NZ_CP045696.1,11828,Sodaliphilus,2815786,0.9998631353926861,0.9769191748393642,1.0,11555,1982844,0,273,Sodaliphilus pleomorphus,2606626,0.9998631353926861,0.9769191748393642,1.0,11555,1982844,0,273
NZ_CP046313.1,15487,Gemella,1378,0.9993768399014976,0.9199328469038548,0.9999984842245672,14247,1979182,3,1240,Gemella sanguinis,84135,0.9992164125229611,0.8990766449280041,1.0,13924,1979185,0,1563
NZ_CP033459.1,22211,Pseudoprevotella,2884814,0.99980899115243,0.9828463374003872,1.0,21830,1972461,0,381,Pseudoprevotella muciniphila,2133944,0.99980899115243,0.9828463374003872,1.0,21830,1972461,0,381
NZ_CP050134.2,20523,Corynebacterium,1716,0.9998997328884147,0.9923500462895288,0.9999782184627402,20366,1974106,43,157,Corynebacterium matruchotii,43768,0.9999057489151099,0.9908395458753594,1.0,20335,1974149,0,188
NZ_CP117966.1,30094,Roseburia,841,0.9962805914957447,0.7535389114109124,0.9999989819696647,22677,1964576,2,7417,Roseburia hominis,301301,0.9961597696262844,0.7454974413504353,0.9999994909848323,22435,1964577,1,7659
NZ_CP017042.1,20973,Selenomonas,970,0.9999313170285641,0.9936108329757307,0.9999984800113898,20839,1973696,3,134,Selenomonas sp. oral taxon 920,1884263,0.999598931553659,0.9618557192580938,1.0,20173,1973699,0,800
NZ_AP025575.1,19169,Eggerthella,84111,0.9997819190323021,0.977359278000939,0.9999994937998069,18735,1975502,1,434,Eggerthella lenta,84112,0.9993753358948239,0.9349992174865669,1.0,17923,1975503,0,1246
NZ_CP039712.1,8445,Vagococcus,2737,0.9998811834727714,0.9728833629366489,0.9999959722629891,8216,1986219,8,229,Vagococcus zengguangii,2571750,0.9998370659436739,0.9615156897572528,1.0,8120,1986227,0,325
NZ_CP013334.1,13091,Fusobacterium,848,0.9994179494172476,0.9121533878236957,0.9999944488769321,11941,1981570,11,1150,Fusobacterium hwasookii,1583098,0.9972210970024145,0.5765793293102132,1.0,7548,1981581,0,5543
NZ_CP040235.1,52000,Bifidobacterium,1678,0.9997934497501344,0.9922884615384615,0.9999943376957098,51599,1942661,11,401,Bifidobacterium longum,216816,0.9920172339111393,0.6938653846153846,0.9999979409802581,36081,1942668,4,15919
NZ_CP012196.1,11986,Campylobacter,194,0.999877172788308,0.9798932087435341,0.9999979825348038,11745,1982682,4,241,Campylobacter gracilis,824,0.9998485966615063,0.9748039379275821,1.0,11684,1982686,0,302
NZ_CP017038.2,27317,Tannerella,195950,0.9998576207015489,0.9896401508218325,0.9999994917033276,27034,1967354,1,283,Tannerella serpentiformis,712710,0.9998561166948752,0.9895303290990958,0.9999994917033276,27031,1967354,1,286
NZ_CP071986.1,7791,Helicobacter,209,0.9999348263774696,0.9833140803491208,1.0,7661,1986881,0,130,Helicobacter pylori,210,0.9998962235395092,0.9734308817866769,1.0,7584,1986881,0,207
NZ_CP026548.1,46342,Faecalibacterium,216851,0.9990048489175163,0.9610288722972682,0.9999081264467519,44536,1948151,179,1806,Faecalibacterium prausnitzii,853,0.9966199956684608,0.8552500971041388,0.9999825491574836,39634,1948296,34,6708
NZ_CP066560.1,33964,Histophilus,214906,0.9989326565971749,0.9373159816276057,1.0,31835,1960708,0,2129,Histophilus somni,731,0.9989326565971749,0.9373159816276057,1.0,31835,1960708,0,2129
NZ_CP118095.1,4400,Aerococcus,1375,0.9996425477471985,0.8409090909090909,0.9999934682294681,3700,1990259,13,700,Aerococcus christensenii,87541,0.9996455557605461,0.8393181818181819,1.0,3693,1990272,0,707
NC_012756.1,15400,unclassified Caudoviricetes genus,,0.9922794324079347,0.0,1.0,0,1979272,0,15400,Streptococcus phage PH10,644007,0.9993432504191165,0.9149350649350649,1.0,14090,1979272,0,1310
NZ_CP040004.1,25817,Candidatus Nanosynbacter,2093823,0.9998611300504544,0.9892706356276871,1.0,25540,1968855,0,277,Candidatus Nanosynbacter featherlites,2572088,0.9997092253764027,0.9775341829027385,1.0,25237,1968855,0,580
NZ_CP013476.1,49951,Turicibacter,191303,0.9991753030072112,0.9670677263718445,1.0,48306,1944721,0,1645,Turicibacter sp. H121,1712675,0.9792988521421065,0.1733498828852275,1.0,8659,1944721,0,41292
NZ_CP054018.1,20093,Rothia,32207,0.9999032422373202,0.990643507689245,0.9999974678146583,19905,1974574,5,188,Rothia dentocariosa,2047,0.999475603006409,0.9479918379535162,0.9999994935629316,19048,1974578,1,1045
NZ_CP033719.1,3675,Propionibacterium,1743,0.9999443517530702,0.9703401360544218,0.9999989954781449,3566,1990995,2,109,Propionibacterium acidifaciens,556499,0.9999353277130275,0.9651700680272108,0.9999994977390725,3547,1990996,1,128
NZ_CP020566.1,60343,Veillonella,29465,0.9996154756270705,0.9873059012644383,0.9999994830248629,59577,1934328,1,766,Veillonella atypica,39777,0.9983786808056663,0.9464063768788427,1.0,57109,1934329,0,3234
NZ_CP073804.1,25942,Macrococcus,69965,0.9996310170293662,0.9717061136381158,0.999998984116664,25208,1968728,2,734,Macrococcus canis,1855823,0.9987381384006995,0.9029758692467813,1.0,23425,1968730,0,2517
NZ_AP019735.1,41138,Alistipes,239759,0.999387367948214,0.9705138801108464,0.99999539296475,39925,1953525,9,1213,Alistipes communis,2585118,0.999033425044318,0.9531576644464972,0.9999994881071944,39211,1953533,1,1927
NZ_CP019668.1,38588,Burkholderia,32008,0.9993728292170342,0.9682025500155489,0.999987730588257,37361,1956060,24,1227,Burkholderia cenocepacia,95486,0.9885635332525848,0.40890950554576555,0.9999984663235321,15779,1956081,3,22809
NZ_CP012069.2,27272,Olsenella,133925,0.9998892048416983,0.9918964505720153,1.0,27051,1967400,0,221,Olsenella sp. oral taxon 807,712411,0.9998831888150032,0.991456438838369,1.0,27039,1967400,0,233
NZ_CP072246.1,7110,Phocaeicola,909656,0.9995513046756559,0.8749648382559775,0.999996981226246,6221,1987556,6,889,Phocaeicola dorei,357276,0.9987271090184251,0.6433192686357243,0.999998490613123,4574,1987559,3,2536
NZ_CP120209.1,53375,Chryseobacterium,59732,0.9856683204055604,0.46448711943793913,0.9999979395218763,24792,1941293,4,28583,Chryseobacterium indologenes,253,0.9739135055788621,0.025124121779859485,1.0,1341,1941297,0,52034
NZ_CP016839.1,107081,Brochothrix,2755,0.9985611669487515,0.9731978595642551,1.0,104211,1887591,0,2870,Brochothrix thermosphacta,2756,0.9985611669487515,0.9731978595642551,1.0,104211,1887591,0,2870
NZ_CP068103.1,5656,Peptoniphilus,162289,0.9995748674468785,0.8500707213578501,1.0,4808,1989016,0,848,Peptoniphilus harei,54005,0.9995021737909792,0.8244342291371994,1.0,4663,1989016,0,993
NZ_CP029197.1,326767,Streptomyces,1883,0.9928654936751506,0.9569081333182359,0.9999100668203524,312686,1667755,150,14081,Streptomyces venezuelae,54571,0.9748650404678062,0.8465879357462657,0.9999964026728141,276637,1667899,6,50130
NZ_CP023482.1,12899,Dermabacter,36739,0.999741812187668,0.9602294751531126,0.9999989908026802,12386,1981771,2,513,Dermabacter jinjuensis,1667168,0.9994364988328909,0.9129389875184123,0.9999994954013401,11776,1981772,1,1123
NZ_CP098491.1,142064,Bacillus,1386,0.9986644420736843,0.9814801779479672,0.9999821872732926,139433,1852575,33,2631,Bacillus subtilis,1423,0.9304802995179158,0.02391879716184255,0.9999983806612084,3398,1852605,3,138666
NZ_CP077403.1,73083,Jonesia,43673,0.9994039120216256,0.9837445096670908,0.999999479597354,71895,1921588,1,1188,Jonesia denitrificans,43674,0.9994039120216256,0.9837445096670908,0.999999479597354,71895,1921588,1,1188
NZ_CP008852.1,10070,Pelosinus,365348,0.9999197863107318,0.9842105263157894,0.9999994961206328,9911,1984601,1,159,Pelosinus sp. UFO1,484770,0.9998871994994666,0.977656405163853,1.0,9845,1984602,0,225
NZ_CP036259.1,38804,Sporomusa,2375,0.9997648736233326,0.9879909287702299,0.9999984661541577,38338,1955865,3,466,Sporomusa termitida,2377,0.9997648736233326,0.9879909287702299,0.9999984661541577,38338,1955865,3,466
NZ_AP019829.2,10275,Leptotrichia,32067,0.9993693198681287,0.8780535279805353,0.9999974803428952,9022,1984392,5,1253,Leptotrichia wadei,157687,0.9984869692861784,0.7063746958637469,0.9999994960685791,7258,1984396,1,3017
