accession_id,total_reads,genus,genus_taxid,genus_accuracy,genus_sensitivity,genus_specificity,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_accuracy,species_sensitivity,species_specificity,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP039381.1,11308,Ruminococcus,1263,0.9998904509401119,0.9904492394764768,0.9999989834092388,11200,983679,1,108,Ruminococcus bovis,2564099,0.9998874358283718,0.9900955076052352,1.0,11196,983680,0,112
NZ_CP025420.1,626,Streptococcus,1301,0.9992572774747032,0.9933305991719397,0.9999372605256671,101725,892524,56,683,Streptococcus parauberis,1348,0.9999678388081062,0.952076677316294,0.9999979886600654,596,994360,2,30
NZ_CP090007.1,2307,Streptococcus,1301,0.9992572774747032,0.9933305991719397,0.9999372605256671,101725,892524,56,683,Streptococcus salivarius,1304,0.9993035091880506,0.7199826614651061,0.9999526534707525,1661,992634,47,646
NZ_CP125360.1,1162,Streptococcus,1301,0.9992572774747032,0.9933305991719397,0.9999372605256671,101725,892524,56,683,Streptococcus dysgalactiae,1334,0.999141698191335,0.28055077452667815,0.9999818881776086,326,993808,18,836
NZ_CP124548.1,2193,Actinomyces,1654,0.9979838952831592,0.95762944795653,0.9999978896074776,45293,947689,2,2004,Actinomyces israelii,1659,0.99779595331803,0.0,1.0,0,992795,0,2193
NZ_CP013476.1,10227,Turicibacter,191303,0.9998653250089449,0.9868974283758678,1.0,10093,984761,0,134,Turicibacter sp. H121,1712675,0.9922290520086674,0.24396206121052116,1.0,2495,984761,0,7732
NZ_CP032621.1,8061,Streptococcus,1301,0.9992572774747032,0.9933305991719397,0.9999372605256671,101725,892524,56,683,Streptococcus gwangjuense,1433513,0.9977346460459825,0.7207542488524997,0.9999969602614985,5810,986924,3,2251
NZ_CP118095.1,4276,Aerococcus,1375,0.9994492395888191,0.9252708076237488,0.9999969626251018,6748,987692,3,545,Aerococcus christensenii,87541,0.9994552698122993,0.8732460243217961,1.0,3734,990712,0,542
NZ_CP015402.2,2094,Muribaculum,1918540,0.9999768841433263,0.9890162368672397,1.0,2071,992894,0,23,Muribaculum intestinale,1796646,0.9999638186591195,0.9828080229226361,1.0,2058,992894,0,36
NZ_CP029458.1,14187,Clostridium,1485,0.9988190812351506,0.9863475882345853,0.9999539473179246,81856,911957,42,1133,Clostridium novyi,1542,0.9898772648514353,0.29005427504053005,1.0,4115,980801,0,10072
NZ_CP017042.1,1936,Selenomonas,970,1.0,1.0,1.0,1936,993052,0,0,Selenomonas sp. oral taxon 920,1884263,0.9999738690315864,0.9865702479338843,1.0,1910,993052,0,26
