read_accession_id,count
NZ_CP020468.1,3220
NZ_CP069240.1,3842
NZ_CP017761.1,8213
NZ_CP098447.1,12092
NZ_CP048000.1,5576
NZ_CP066560.1,3042
NZ_CP096671.1,4121
NZ_CP120618.1,1832
NC_074775.1,2313
NZ_CP012196.1,4383
NZ_CP012069.2,506
NZ_CP126312.1,5057
NZ_CP077403.1,1390
NZ_CP029197.1,5627
NC_000883.2,452
NZ_CP006683.1,14883
NZ_CP015402.2,6597
NZ_CP101412.1,1397
NZ_CP046313.1,3385
NZ_CP040121.1,19756
NZ_CP072042.1,4123
NZ_CP127188.1,6477
NZ_CP032819.1,8906
NZ_CP073804.1,7606
NZ_CP027235.1,4401
NC_076103.1,3743
NZ_AP019829.2,10404
NZ_CP083175.1,1579
NZ_CP035298.1,3775
NZ_CP027286.1,2980
NZ_CP120398.1,2100
NZ_CP025330.1,4565
NZ_CP027228.1,2536
NZ_CP014150.1,33752
NZ_CP072236.1,1675
NZ_CP065983.1,9019
NZ_CP012672.1,1389
NZ_CP123971.1,2982
NC_001612.1,12046
NZ_CP033459.1,7452
NZ_CP013476.1,9587
NC_001348.1,839
NZ_CP124126.1,2884
NZ_CP072385.1,11271
NZ_CP019668.1,1907
NZ_AP019697.1,3917
NZ_CP034593.1,3811
NZ_CP023474.1,1238
NZ_CP054018.1,276300
NZ_CP121210.1,8770
NZ_CP026548.1,14212
NZ_CP029462.1,2114
NZ_CP089305.1,23514
NZ_CP008852.1,2255
NZ_AP019822.1,10092
NZ_CP034465.1,1880
NZ_CP019962.1,2493
NZ_CP039712.1,3727
NZ_CP011861.1,5819
NZ_CP123403.1,2037
NZ_CP084018.1,3569
NZ_CP125806.1,830
NZ_CP070914.1,33081
NC_076948.1,7872
NZ_CP025420.1,1594
NZ_CP125315.1,11351
NZ_CP066811.1,4524
NZ_AP025575.1,1560
NZ_CP084221.1,448
NZ_CP126077.1,1921
NZ_CP050134.2,5531
NZ_CP017812.1,8707
NZ_CP104580.1,1786
NZ_CP033719.1,1217
NZ_CP118095.1,2828
NZ_CP040348.1,1741
NC_044045.1,973
NZ_CP116810.1,3320
NZ_CP126983.1,1521
NZ_CP045696.1,2328
NC_004718.3,2726
NZ_CP017038.2,4540
NC_003976.2,4934
NZ_CP034169.1,522
NZ_CP012098.1,1834
NZ_CP068103.1,6941
NZ_CP040915.1,449
NZ_CP069520.1,1403
NZ_CP013745.1,3720
NZ_CP020566.1,3000
NZ_CP098491.1,6657
NZ_CP115634.1,2354
NZ_CP085178.1,1809
NC_001526.4,1205
NZ_CP023482.1,1602
NZ_CP031057.1,3461
NC_001489.1,4859
NZ_CP040235.1,10285
NC_076165.1,1124
NC_012756.1,267
NZ_CP097775.1,3836
NZ_CP036259.1,4705
NC_001538.1,4274
NZ_CP032364.1,1850
NZ_CP046246.1,1307
NZ_CP047630.1,5801
NZ_AP025569.1,12201
NZ_CP016839.1,4088
NZ_CP054494.1,15525
NC_000940.1,1967
NZ_CP065995.1,636
NZ_CP029033.1,5067
NZ_CP027400.1,631
NC_001722.1,2865
NZ_AP019735.1,251
NZ_CP015348.1,1600
NZ_CP017428.1,13504
NZ_CP034157.1,3520
NZ_CP039381.1,1871
NZ_CP071986.1,2844
NZ_CP121769.1,962
NZ_CP013195.1,4699
NZ_CP068112.1,3169
NZ_CP016843.1,1483
NZ_CP054000.1,1333
NZ_CP072246.1,4640
NC_011202.1,1486
NZ_CP040004.1,3686
NZ_CP017042.1,1001
NZ_CP124202.1,12473
NZ_CP047311.1,1903
NZ_CP120209.1,494
NZ_CP008849.1,1313
NZ_CP046315.1,4616
NZ_CP072373.1,3281
NZ_CP098483.1,2957
NZ_CP009709.1,1690
NZ_CP053315.1,1585
NZ_CP013334.1,2780
NZ_CP050497.1,5931
NZ_CP030280.1,1072
NZ_CP047591.1,2037
NZ_CP126076.1,54129
NZ_CP117966.1,1160
