read_accession_id,read_accession_total_count,root,kraken_classified_root,superkingdom,kraken_classified_superkingdom,phylum,kraken_classified_phylum,class,kraken_classified_class,order,kraken_classified_order,family,kraken_classified_family,genus,kraken_classified_genus,species,kraken_classified_species
NZ_CP015577.1,1433,root,1433,Bacteria,1433,Campylobacterota,1432,Epsilonproteobacteria,1432,Campylobacterales,1432,Campylobacteraceae,1432,Campylobacter,1432,Campylobacter iguaniorum,1428
NZ_CP032620.1,8856,root,8853,Bacteria,8853,Bacillota,8838,Bacilli,8836,Lactobacillales,8836,Streptococcaceae,8829,Streptococcus,8829,Streptococcus koreensis,6005
NZ_CP012410.1,4175,root,4173,Bacteria,4171,Fusobacteriota,4166,Fusobacteriia,4166,Fusobacteriales,4166,Leptotrichiaceae,4165,Leptotrichia,4164,Leptotrichia sp. oral taxon 212,4139
NZ_CP022386.1,33980,root,33975,Bacteria,33974,Bacteroidota,33974,Flavobacteriia,33974,Flavobacteriales,33974,Flavobacteriaceae,33974,Capnocytophaga,33974,Capnocytophaga gingivalis,33857
NZ_CP027234.1,4589,root,4589,Bacteria,4589,Bacteroidota,4589,Bacteroidia,4589,Bacteroidales,4589,Bacteroidaceae,4486,Bacteroides,4486,Bacteroides heparinolyticus,4329
NZ_CP116438.1,2717,root,2717,Bacteria,2697,Bacillota,2695,Clostridia,2695,Eubacteriales,2695,Clostridiaceae,2695,Clostridium,2694,Clostridium perfringens,2019
NZ_CP040798.1,32247,root,32240,Bacteria,32240,Bacillota,32240,Bacilli,32240,Lactobacillales,32240,Streptococcaceae,32237,Streptococcus,32237,Streptococcus sanguinis,31873
NZ_CP085096.1,16517,root,16517,Bacteria,16514,Pseudomonadota,16514,Gammaproteobacteria,16514,Pasteurellales,16513,Pasteurellaceae,16513,Aggregatibacter,16505,Aggregatibacter actinomycetemcomitans,16443
NZ_CP034842.1,27287,root,27281,Bacteria,27276,Fusobacteriota,27273,Fusobacteriia,27273,Fusobacteriales,27273,Fusobacteriaceae,27273,Fusobacterium,27273,Fusobacterium necrophorum,27262
NZ_CP040004.1,5936,root,5936,Bacteria,5936,Candidatus Saccharibacteria,5936,Candidatus Saccharimonadia,5925,Candidatus Nanosynbacterales,5925,Candidatus Nanosynbacteraceae,5925,Candidatus Nanosynbacter,5925,Candidatus Nanosynbacter featherlites,5906
NZ_CP050134.2,1375,root,1375,Bacteria,1375,Actinomycetota,1375,Actinomycetes,1375,Mycobacteriales,1375,Corynebacteriaceae,1375,Corynebacterium,1375,Corynebacterium matruchotii,1375
NZ_CP027235.1,5132,root,5132,Bacteria,5132,Pseudomonadota,5132,Gammaproteobacteria,5132,Pasteurellales,5132,Pasteurellaceae,5132,Haemophilus,5116,Haemophilus sp. oral taxon 036,4846
NZ_CP022384.1,3396,root,3395,Bacteria,3395,Bacteroidota,3395,Flavobacteriia,3394,Flavobacteriales,3394,Flavobacteriaceae,3391,Capnocytophaga,3391,Capnocytophaga leadbetteri,3303
NZ_CP027232.1,2607,root,2606,Bacteria,2606,Bacteroidota,2606,Flavobacteriia,2606,Flavobacteriales,2606,Flavobacteriaceae,2606,Capnocytophaga,2606,Capnocytophaga sp. oral taxon 864,2045
NZ_AP018768.1,12661,root,12661,Bacteria,12661,Pseudomonadota,12661,Gammaproteobacteria,12657,Pasteurellales,12656,Pasteurellaceae,12656,Haemophilus,12624,Haemophilus influenzae,11765
NZ_CP007570.1,16908,root,16908,Bacteria,16905,Bacillota,16791,Bacilli,16778,Lactobacillales,16767,Streptococcaceae,16743,Streptococcus,16740,Streptococcus agalactiae,7409
NZ_CP127164.1,630,root,630,Bacteria,630,Bacillota,626,Bacilli,626,Bacillales,626,Bacillaceae,626,Bacillus,626,Bacillus velezensis,55
NZ_CP097843.1,1436,root,1436,Bacteria,1436,Bacillota,1430,Bacilli,1430,Lactobacillales,1430,Streptococcaceae,1429,Streptococcus,1429,Streptococcus oralis,1399
NZ_CP033459.1,4654,root,4654,Bacteria,4654,Bacteroidota,4654,Bacteroidia,4652,Bacteroidales,4652,Prevotellaceae,4652,Pseudoprevotella,4649,Pseudoprevotella muciniphila,4649
NZ_CP020566.1,3526,root,3525,Bacteria,3525,Bacillota,3523,Negativicutes,3523,Veillonellales,3523,Veillonellaceae,3523,Veillonella,3523,Veillonella atypica,3511
NZ_CP072246.1,4530,root,4530,Bacteria,4530,Bacteroidota,4527,Bacteroidia,4507,Bacteroidales,4507,Bacteroidaceae,4162,Phocaeicola,4037,Phocaeicola dorei,3799
NZ_CP006943.1,21148,root,21148,Bacteria,21148,Pseudomonadota,21148,Gammaproteobacteria,21148,Pasteurellales,21140,Pasteurellaceae,21140,Mannheimia,21087,Mannheimia varigena,20826
NZ_CP075172.1,9190,root,9189,Bacteria,9189,Bacillota,9189,Bacilli,9189,Lactobacillales,9188,Streptococcaceae,9186,Streptococcus,9185,Streptococcus equinus,8861
NZ_AP019822.1,2325,root,2323,Bacteria,2323,Fusobacteriota,2323,Fusobacteriia,2323,Fusobacteriales,2323,Leptotrichiaceae,2323,Pseudoleptotrichia,2323,Pseudoleptotrichia goodfellowii,2323
NZ_CP034670.1,265,root,265,Bacteria,265,Pseudomonadota,265,Betaproteobacteria,265,Neisseriales,265,Neisseriaceae,265,Eikenella,265,Eikenella corrodens,265
NZ_CP048246.1,18769,root,18767,Bacteria,18767,Pseudomonadota,18766,Betaproteobacteria,18761,Neisseriales,18761,Neisseriaceae,18761,Neisseria,18755,Neisseria gonorrhoeae,17877
NZ_CP121210.1,4509,root,4509,Bacteria,4509,Bacteroidota,4496,Flavobacteriia,4495,Flavobacteriales,4495,Weeksellaceae,4495,Riemerella,4491,Riemerella anatipestifer,4490
NZ_AP019827.1,8074,root,8073,Bacteria,8068,Fusobacteriota,8062,Fusobacteriia,8062,Fusobacteriales,8062,Leptotrichiaceae,8061,Leptotrichia,8061,Leptotrichia shahii,7669
NZ_CP101412.1,3989,root,3988,Bacteria,3986,Bacillota,3953,Tissierellia,3876,Tissierellales,3876,Peptoniphilaceae,3876,Parvimonas,3876,Parvimonas micra,3876
NZ_AP019831.1,7392,root,7392,Bacteria,7389,Fusobacteriota,7377,Fusobacteriia,7377,Fusobacteriales,7377,Leptotrichiaceae,7377,Leptotrichia,7377,Leptotrichia trevisanii,7230
