read_accession_id,count
NZ_CP120209.1,1968
NZ_CP039381.1,7094
NZ_CP019668.1,4489
NZ_CP097775.1,9861
NZ_CP017042.1,43090
NZ_CP084018.1,1339
NZ_CP068112.1,33104
NZ_CP040004.1,11906
NC_012753.1,6705
NZ_CP012117.1,2541
NZ_CP027228.1,36535
NZ_CP029197.1,7914
NZ_CP077403.1,22254
NC_001422.1,9414
NZ_CP040121.1,4622
NC_000866.4,14307
NZ_CP072246.1,10338
NZ_CP015348.1,6617
NZ_CP071986.1,14514
NZ_CP050134.2,2544
NZ_CP012069.2,18439
NC_012756.1,4014
NZ_CP014150.1,25376
NZ_CP026734.1,28022
NZ_CP020566.1,1912
NZ_CP016839.1,3074
NZ_CP047311.1,10583
NZ_CP065995.1,9683
NZ_CP116810.1,24756
NZ_CP033719.1,10743
NZ_CP028105.1,3809
NZ_CP008849.1,17352
NZ_CP068102.1,4451
NZ_CP034465.1,9605
NZ_CP036259.1,2012
NZ_CP040915.1,10167
NZ_CP050497.1,44598
NZ_CP040235.1,110628
NZ_AP025575.1,11767
NZ_CP040348.1,17279
NZ_CP068103.1,4711
NZ_CP073804.1,2358
NZ_CP027235.1,23795
NZ_CP017038.2,7626
NZ_CP046246.1,28273
NZ_CP046313.1,10870
NZ_CP072373.1,98267
NZ_CP029066.1,115824
NZ_CP072042.1,6230
NZ_CP012672.1,1599
NZ_AP019846.1,15383
NZ_CP126077.1,26055
NZ_AP019735.1,36471
NZ_CP032819.1,3023
