read_accession_id,count
NZ_CP046313.1,27147
NZ_CP017038.2,21625
NZ_AP021887.1,16566
NZ_CP046314.1,13393
NZ_CP101412.1,8805
NZ_CP044230.1,6324
NZ_CP125087.1,4315
NZ_AP018768.1,9725
NZ_CP032620.1,41405
NZ_CP027228.1,6303
NZ_CP034670.1,12574
NZ_CP019668.1,13848
NZ_CP031253.1,90220
NZ_CP046315.1,1833
NZ_AP014938.1,3444
NZ_CP012067.1,31382
NZ_CP032364.1,83440
NZ_CP050134.2,5322
NZ_CP031243.1,11878
NZ_CP028108.1,1722
NZ_CP066065.1,7404
NZ_CP039886.1,8361
NZ_CP024696.1,2918
NZ_CP126745.1,40866
NZ_CP072373.1,18212
NZ_CP027235.1,29220
NZ_CP019721.1,29776
NZ_CP083637.1,31599
NZ_CP073118.1,3654
NZ_CP053939.1,9328
NZ_CP031255.1,20079
NZ_CP032621.1,15423
NZ_CP040798.1,4280
NZ_CP090007.1,14642
NZ_CP038817.1,3171
NZ_AP019829.2,21582
NZ_CP022527.1,5838
NZ_CP048246.1,14132
NZ_CP016753.1,1098
NZ_CP020566.1,10800
NZ_CP065726.1,2177
NZ_CP049272.1,39772
NZ_CP094445.1,3357
NZ_CP075172.1,42882
NZ_CP028415.1,5161
NZ_CP064367.1,3916
NZ_CP068102.1,30086
NZ_CP008849.1,3574
NZ_CP017295.1,2323
NZ_CP050133.1,21763
NZ_CP012410.1,16236
NZ_CP107038.1,35100
NZ_CP020431.2,3818
NZ_CP097843.1,24812
NZ_CP054018.1,33559
NZ_CP028101.1,8580
NZ_CP024700.1,17293
NZ_CP014264.1,1759
