accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
CP097095.1,64,Actinomyces,1654,10,999366,1,623,Actinomyces graevenitzii,55565,0,999936,0,64
NZ_CP033459.1,9159,Pseudoprevotella,2884814,9144,990812,29,15,Pseudoprevotella muciniphila,2133944,9144,990812,29,15
CAKAFU010000002.1,34271,Alloprevotella,1283313,0,965729,0,34271,Alloprevotella tannerae,76122,0,965729,0,34271
NZ_CP036550.1,104,Bacteroides,816,100,999712,184,4,Bacteroides fragilis,817,97,999885,11,7
NZ_CP049272.1,47767,Campylobacter,194,48080,951847,5,68,Campylobacter concisus,199,47459,952233,0,308
NZ_CP012544.1,381,Campylobacter,194,48080,951847,5,68,Campylobacter showae,204,377,999618,1,4
NZ_CP022386.1,75,Capnocytophaga,1016,152,999846,1,1,Capnocytophaga gingivalis,1017,74,999925,0,1
NZ_CP022379.1,78,Capnocytophaga,1016,152,999846,1,1,Capnocytophaga sputigena,1019,72,999922,0,6
ACIL03000013.1,51,Catonella,43996,0,999949,0,51,Catonella morbi,43997,0,999949,0,51
NZ_CP028101.1,9945,Fusobacterium,848,14652,985189,2,157,Fusobacterium nucleatum,851,7266,990047,8,2679
NZ_CP024703.1,4341,Fusobacterium,848,14652,985189,2,157,Fusobacterium pseudoperiodonticum,2663009,3875,995625,34,466
NZ_CP083637.1,31124,Gemella,1378,30861,968876,0,263,Gemella haemolysans,1379,30643,968876,0,481
NZ_CP031243.1,32100,Haemophilus,724,510991,483304,3,5702,Haemophilus haemolyticus,726,27848,967836,64,4252
NZ_AP018768.1,2024,Haemophilus,724,510991,483304,3,5702,Haemophilus influenzae,727,1572,997451,525,452
NZ_CP038817.1,416182,Haemophilus,724,510991,483304,3,5702,Haemophilus parahaemolyticus,735,407452,583815,3,8730
NZ_CP035368.2,66387,Haemophilus,724,510991,483304,3,5702,Haemophilus parainfluenzae,729,64284,933527,86,2103
MT157224.1,744,Enterovirus,12059,39,999247,0,714,Human rhinovirus sp.,169066,0,999256,0,744
NC_013203.1,73,Lancefieldella,2767353,73,999927,0,0,Lancefieldella parvula,1382,73,999927,0,0
NZ_LR134378.1,34,Lautropia,47670,34,999966,0,0,Lautropia mirabilis,47671,34,999966,0,0
NZ_AP019829.2,69,Leptotrichia,32067,68,999931,0,1,Leptotrichia wadei,157687,62,999931,0,7
NZ_CP101528.1,6700,Micrococcus,1269,6670,993265,0,65,Micrococcus luteus,1270,3925,993299,1,2775
NZ_CP014234.1,56604,Moraxella,475,56142,943392,4,462,Moraxella osloensis,34062,53335,943396,0,3269
NZ_CP053939.1,12935,Neisseria,482,12887,986969,16,128,Neisseria mucosa,488,8358,987065,0,4577
NZ_CP073114.1,80,Neisseria,482,12887,986969,16,128,Neisseria subflava,28449,46,999802,118,34
NZ_CP092048.1,30537,Porphyromonas,836,30047,969327,81,545,Porphyromonas gingivalis,837,30036,969407,56,501
NC_019960.1,55,Prevotella,838,6000,991170,2692,138,Prevotella dentalis,52227,55,999848,97,0
NZ_CP024696.1,410,Prevotella,838,6000,991170,2692,138,Prevotella intermedia,28131,375,999124,466,35
NZ_CP072363.1,5305,Prevotella,838,6000,991170,2692,138,Prevotella jejuni,1177574,4990,994565,130,315
