read_accession_id,read_accession_total_count,root,kraken_classified_root,superkingdom,kraken_classified_superkingdom,phylum,kraken_classified_phylum,class,kraken_classified_class,order,kraken_classified_order,family,kraken_classified_family,genus,kraken_classified_genus,species,kraken_classified_species
NC_000866.4,1260,root,1260,Viruses,1260,Uroviricota,1260,Caudoviricetes,1260,unclassified Caudoviricetes order,0,Straboviridae,1201,Tequatrovirus,1188,Tequatrovirus T4,504
NZ_AP019829.2,10473,root,10350,Bacteria,10282,Fusobacteriota,10273,Fusobacteriia,10273,Fusobacteriales,10273,Leptotrichiaceae,10251,Leptotrichia,10248,Leptotrichia wadei,9150
NZ_CP049272.1,2741,root,2738,Bacteria,2737,Campylobacterota,2737,Epsilonproteobacteria,2737,Campylobacterales,2737,Campylobacteraceae,2737,Campylobacter,2737,Campylobacter concisus,2729
NZ_CP024700.1,40589,root,40390,Bacteria,40279,Fusobacteriota,40196,Fusobacteriia,40196,Fusobacteriales,40196,Fusobacteriaceae,40161,Fusobacterium,40155,Fusobacterium pseudoperiodonticum,30291
NZ_CP012067.1,6909,root,6908,Bacteria,6905,Pseudomonadota,6903,Gammaproteobacteria,6896,Pasteurellales,6887,Pasteurellaceae,6887,Aggregatibacter,6803,Aggregatibacter aphrophilus,6696
NZ_CP024696.1,12549,root,12546,Bacteria,12546,Bacteroidota,12545,Bacteroidia,12324,Bacteroidales,12324,Prevotellaceae,12143,Prevotella,12124,Prevotella intermedia,11601
NZ_CP014264.1,8938,root,8922,Bacteria,8921,Bacillota,8902,Bacilli,8901,Lactobacillales,8901,Streptococcaceae,8897,Streptococcus,8897,Streptococcus sp. oral taxon 431,8017
NZ_CP040798.1,8830,root,8822,Bacteria,8821,Bacillota,8817,Bacilli,8817,Lactobacillales,8814,Streptococcaceae,8807,Streptococcus,8806,Streptococcus sanguinis,8490
NZ_CP072373.1,114443,root,114397,Bacteria,114392,Bacteroidota,114391,Bacteroidia,114390,Bacteroidales,114390,Prevotellaceae,113883,Prevotella,112427,Prevotella denticola,105976
NZ_CP028101.1,7582,root,7559,Bacteria,7550,Fusobacteriota,7546,Fusobacteriia,7546,Fusobacteriales,7546,Fusobacteriaceae,7544,Fusobacterium,7542,Fusobacterium nucleatum,5548
NZ_CP050870.1,16440,root,16437,Bacteria,16414,Bacillota,16403,Bacilli,16399,Lactobacillales,16375,Streptococcaceae,16287,Streptococcus,16204,Streptococcus thermophilus,15338
NZ_CP090007.1,48073,root,48058,Bacteria,48054,Bacillota,48024,Bacilli,48021,Lactobacillales,47994,Streptococcaceae,47940,Streptococcus,47914,Streptococcus salivarius,31587
NZ_CP019721.1,10018,root,10017,Bacteria,10016,Bacillota,10015,Negativicutes,10014,Veillonellales,10014,Veillonellaceae,10014,Veillonella,10012,Veillonella parvula,9784
NZ_CP012410.1,5580,root,5523,Bacteria,5500,Fusobacteriota,5481,Fusobacteriia,5481,Fusobacteriales,5481,Leptotrichiaceae,5475,Leptotrichia,5473,Leptotrichia sp. oral taxon 212,5422
NZ_AP014880.1,5037,root,5033,Bacteria,5032,Bacillota,5030,Bacilli,5030,Lactobacillales,5029,Streptococcaceae,5025,Streptococcus,5023,Streptococcus intermedius,4242
NZ_CP050133.1,12307,root,11643,Bacteria,11613,Bacillota,11600,Bacilli,11596,Lactobacillales,11583,Streptococcaceae,11557,Streptococcus,11555,Streptococcus cristatus,8737
NC_001422.1,2088,root,2088,Viruses,2,Phixviricota,2,Malgrandaviricetes,2,Petitvirales,2,Microviridae,2,Sinsheimervirus,0,Sinsheimervirus phiX174,0
NZ_CP044230.1,30986,root,30976,Bacteria,30976,Bacillota,30946,Bacilli,30940,Lactobacillales,30931,Streptococcaceae,30865,Streptococcus,30847,Streptococcus sp. LPB0220,21438
NZ_CP039462.1,938,root,937,Bacteria,936,Bacillota,933,Bacilli,931,Lactobacillales,928,Streptococcaceae,926,Streptococcus,926,Streptococcus suis,811
NZ_CP028415.1,9549,root,9540,Bacteria,9540,Bacillota,9516,Bacilli,9516,Lactobacillales,9514,Streptococcaceae,9510,Streptococcus,9508,Streptococcus mitis,8271
NZ_CP089305.1,3952,root,3952,Bacteria,3952,Bacillota,3949,Bacilli,3949,Lactobacillales,3945,Lactobacillaceae,3910,Limosilactobacillus,3775,Limosilactobacillus fermentum,3760
NZ_CP046314.1,607,root,606,Bacteria,606,Bacillota,598,Bacilli,584,Bacillales,577,unclassified Bacillales family,0,Gemella,577,Gemella morbillorum,570
