read_accession_id,read_accession_total_count,root,kraken_classified_root,superkingdom,kraken_classified_superkingdom,phylum,kraken_classified_phylum,class,kraken_classified_class,order,kraken_classified_order,family,kraken_classified_family,genus,kraken_classified_genus,species,kraken_classified_species
NZ_CP008852.1,5387,root,5385,Bacteria,5385,Bacillota,5385,Negativicutes,5385,Selenomonadales,5385,Sporomusaceae,5385,Pelosinus,5385,Pelosinus sp. UFO1,5380
NZ_CP032819.1,2486,root,2486,Bacteria,2486,Bacteroidota,2484,Bacteroidia,2467,Bacteroidales,2467,Odoribacteraceae,2205,Butyricimonas,2204,Butyricimonas faecalis,2202
NZ_CP029033.1,9571,root,9570,Bacteria,9570,Actinomycetota,9570,Actinomycetes,9570,Actinomycetales,9570,Actinomycetaceae,9570,Actinobaculum,9563,Actinobaculum sp. 313,9563
NZ_CP045696.1,4343,root,4343,Bacteria,4343,Bacteroidota,4343,Bacteroidia,4323,Bacteroidales,4323,Muribaculaceae,4306,Sodaliphilus,4306,Sodaliphilus pleomorphus,4306
NZ_CP025330.1,19695,root,19695,Bacteria,19695,Actinomycetota,19695,Actinomycetes,19695,Micrococcales,19188,Brevibacteriaceae,19161,Brevibacterium,19161,Brevibacterium aurantiacum,14008
NZ_CP046313.1,12004,root,12002,Bacteria,11994,Bacillota,11970,Bacilli,11967,Bacillales,11960,unclassified Bacillales family,0,Gemella,11958,Gemella sanguinis,11900
NZ_CP039712.1,37690,root,37690,Bacteria,37690,Bacillota,37676,Bacilli,37675,Lactobacillales,37670,Enterococcaceae,37665,Vagococcus,37633,Vagococcus zengguangii,37516
NZ_CP098491.1,31381,root,31381,Bacteria,31367,Bacillota,31221,Bacilli,31217,Bacillales,31214,Bacillaceae,31209,Bacillus,31165,Bacillus subtilis,2027
NZ_CP012196.1,9211,root,9209,Bacteria,9209,Campylobacterota,9209,Epsilonproteobacteria,9209,Campylobacterales,9209,Campylobacteraceae,9209,Campylobacter,9209,Campylobacter gracilis,9207
NZ_CP026548.1,5820,root,5819,Bacteria,5819,Bacillota,5811,Clostridia,5772,Eubacteriales,5719,Oscillospiraceae,5718,Faecalibacterium,5709,Faecalibacterium prausnitzii,5548
NZ_AP019735.1,8134,root,8134,Bacteria,8134,Bacteroidota,8133,Bacteroidia,8083,Bacteroidales,8083,Rikenellaceae,7952,Alistipes,7952,Alistipes communis,7936
NZ_CP033719.1,96817,root,96801,Bacteria,96801,Actinomycetota,96783,Actinomycetes,96783,Propionibacteriales,96782,Propionibacteriaceae,96782,Propionibacterium,96781,Propionibacterium acidifaciens,96779
NZ_CP036259.1,4329,root,4329,Bacteria,4329,Bacillota,4329,Negativicutes,4329,Selenomonadales,4329,Sporomusaceae,4329,Sporomusa,4329,Sporomusa termitida,4327
NZ_CP072246.1,5561,root,5561,Bacteria,5561,Bacteroidota,5552,Bacteroidia,5529,Bacteroidales,5529,Bacteroidaceae,5096,Phocaeicola,4949,Phocaeicola dorei,4639
NZ_CP040235.1,11722,root,11721,Bacteria,11721,Actinomycetota,11719,Actinomycetes,11719,Bifidobacteriales,11704,Bifidobacteriaceae,11704,Bifidobacterium,11704,Bifidobacterium longum,10756
NZ_CP016839.1,4018,root,4018,Bacteria,4018,Bacillota,4018,Bacilli,4018,Bacillales,4018,Listeriaceae,4018,Brochothrix,4018,Brochothrix thermosphacta,4018
