"","species","read_length","species_sensitivity","species_specificity","species_accuracy","species_precision","genus_sensitivity","genus_specificity","genus_accuracy","genus_precision"
"1","[Eubacterium] brachy","75",0,100,99.3280950269879,100,0,100,98.0702405258617,100
"2","[Eubacterium] brachy","150",0,100,99.3276927339767,100,0,100,98.0691796023932,100
"3","[Eubacterium] brachy","300",0,100,99.3280579490845,100,0,100,98.0687160807051,100
"4","[Eubacterium] nodatum","75",0,100,98.7421454988738,100,0,100,98.0702405258617,100
"5","[Eubacterium] nodatum","150",0,100,98.7414868684165,100,0,100,98.0691796023932,100
"6","[Eubacterium] nodatum","300",0,100,98.7406581316206,100,0,100,98.0687160807051,100
"7","[Haemophilus] ducreyi","75",97.535035035035,99.9996981466202,99.9898281916429,99.9230867837457,96.5288589701945,99.9949644178421,99.8399067600936,99.8887291946776
"8","[Haemophilus] ducreyi","150",99.3884711779449,99.9993928778501,99.993288214104,99.9395161290323,97.7953840854289,99.9954264271674,99.8674672725306,99.9243264171198
"9","[Haemophilus] ducreyi","300",99.7913406364111,99.9997920965504,99.9989646093109,99.9477533960293,99.3705616526791,99.9939291905117,99.9659356463271,99.8702351987023
"10","Abiotrophia defectiva","75",96.9468027104915,99.9999495763404,99.9803109664911,99.9919665809769,96.9468027104915,99.9999495763404,99.9803109664911,99.9919665809769
"11","Abiotrophia defectiva","150",98.390092879257,100,99.9947924386209,100,98.390092879257,100,99.9947924386209,100
"12","Abiotrophia defectiva","300",98.7372510927635,100,99.9919252485057,100,98.7372510927635,100,99.9919252485057,100
"13","Achromobacter denitrificans","75",91.0402824845704,99.9993946040425,99.9744099410357,99.6914870886753,96.0576335177282,99.9955115493133,99.9841997590213,97.7119340479457
"14","Achromobacter denitrificans","150",97.8400921039241,99.999722591868,99.9938092620355,99.8561109950054,99.3226508774225,99.9972761441286,99.9953202530259,98.6532342990173
"15","Achromobacter denitrificans","300",99.0548690759398,99.9996355037765,99.9972186665153,99.7836979359685,99.841014531987,99.9969270150579,99.9964400918494,98.3213942471811
"16","Acinetobacter baumannii","75",6.62878969457024,99.9863285576142,99.5624986280909,72.7673224978614,97.3637881956262,99.9975860852388,99.9422206601529,99.8509409060545
"17","Acinetobacter baumannii","150",11.3311186687524,99.9813228297202,99.5785145458917,76.6586713796779,98.9078708746906,99.9960444127287,99.9738956354273,99.7606958690214
"18","Acinetobacter baumannii","300",23.7510360596488,99.9695278485973,99.6231971142169,80.358140265452,99.3082165858069,99.9941332624803,99.9803047343693,99.6541946633571
"19","Acinetobacter lwoffii","75",36.2229190592317,99.9999242130468,99.727112250646,99.952241117414,97.3637881956262,99.9975860852388,99.9422206601529,99.8509409060545
"20","Acinetobacter lwoffii","150",49.4509816947669,99.9996462447237,99.7827590483458,99.8539395478914,98.9078708746906,99.9960444127287,99.9738956354273,99.7606958690214
"21","Acinetobacter lwoffii","300",60.8559242709433,99.9995823730952,99.8322556175555,99.8395486423848,99.3082165858069,99.9941332624803,99.9803047343693,99.6541946633571
"22","Acinetobacter nosocomialis","75",61.653018705988,99.9981056487904,99.8545867708844,98.3241461089257,97.3637881956262,99.9975860852388,99.9422206601529,99.8509409060545
"23","Acinetobacter nosocomialis","150",77.7172713120238,99.997397623144,99.9129184221496,98.3241889623987,98.9078708746906,99.9960444127287,99.9738956354273,99.7606958690214
"24","Acinetobacter nosocomialis","300",86.8628363114512,99.9920391979586,99.9413508729508,95.4520334414852,99.3082165858069,99.9941332624803,99.9803047343693,99.6541946633571
"25","Acinetobacter pittii","75",38.2176446641271,99.9978910460984,99.4679584099742,99.3145565805085,97.3637881956262,99.9975860852388,99.9422206601529,99.8509409060545
"26","Acinetobacter pittii","150",56.05133114052,99.9960362398072,99.617504905538,99.1042083784324,98.9078708746906,99.9960444127287,99.9738956354273,99.7606958690214
"27","Acinetobacter pittii","300",69.7511834085332,99.9919151258622,99.7303756836959,98.5366911210029,99.3082165858069,99.9941332624803,99.9803047343693,99.6541946633571
"28","Actinomyces graevenitzii","75",0,100,98.6255419003031,100,19.8412975588698,99.9955441618537,95.3929194596207,99.7407146704
"29","Actinomyces graevenitzii","150",0,100,98.6240952330663,100,26.8724938789572,99.9944243630242,95.7745500100962,99.7693624489825
"30","Actinomyces graevenitzii","300",0,100,98.6227512256111,100,31.9022149100436,99.9946346548762,96.0521565003319,99.7976835048079
"31","Actinomyces israelii","75",0,100,98.8865353053494,100,44.7791882340883,99.9958221640146,97.6503106460884,99.5811067697456
"32","Actinomyces israelii","150",0,100,98.8400414036147,100,48.7715338429273,99.9941367713399,97.8257411257608,99.5023037854519
"33","Actinomyces israelii","300",0,100,98.8847457751499,100,51.9541769660729,99.9930246982446,97.9883157545607,99.4024299838461
"34","Actinomyces naeslundii","75",90.8018206121327,99.9993915602787,99.8377979322612,98.8838513321249,79.7301404466093,99.9942570239502,99.5467710914293,99.5867508568729
"35","Actinomyces naeslundii","150",97.2333747607512,99.9986080969407,99.9560244800497,97.8460395874737,81.2192086057883,99.9886867903102,99.5761924624322,99.3437064785597
"36","Actinomyces naeslundii","300",98.8408668308762,99.9985671283466,99.9783206248536,97.7220620182071,82.2536071503728,99.9839410461467,99.6168468648657,99.1132179523061
"37","Aerococcus urinae","75",98.5857359635812,99.9999494639387,99.9882722051262,99.9938435018162,87.5483826375449,99.9998451523391,99.6386937040787,99.9940792200359
"38","Aerococcus urinae","150",99.7263273125342,99.9997988488117,99.9987975120524,99.9451453647833,92.6324128564961,99.9991911798159,99.933963370213,99.9023556694739
"39","Aerococcus urinae","300",99.9874702418243,99.9995823601455,99.999482264451,99.9498997995992,91.7952189247925,99.9994667662036,99.7610132705976,99.9805983469792
"40","Aeromonas sobria","75",0,100,98.2992263183752,100,87.7989333347169,99.9986382558261,99.7942707011025,99.3151880024521
"41","Aeromonas sobria","150",0,100,98.2990489336657,100,95.5676845016699,99.9984794806968,99.9260453233298,99.1188373321107
"42","Aeromonas sobria","300",0,100,98.298803863685,100,96.9961655283298,99.997918072527,99.9485784051829,99.2946553355917
"43","Aggregatibacter actinomycetemcomitans","75",96.0664601178543,99.9990319901772,99.9341588365455,99.9399608165329,97.6912851845806,99.9941623212659,99.944681396915,99.7286037376503
"44","Aggregatibacter actinomycetemcomitans","150",98.3914209115281,99.9989922158754,99.989381353657,99.829989799388,99.2291961617115,99.9728065102026,99.9633356173441,97.9199006519714
"45","Aggregatibacter actinomycetemcomitans","300",99.2722253591819,99.9994736177201,99.9874717726613,99.9684104119282,99.7592449922958,99.9962964961679,99.9911991791423,99.831349684383
"46","Aggregatibacter aphrophilus","75",92.4595029325986,99.9948085622286,99.8857839549571,99.2552754141588,96.8055204568144,99.9921298926845,99.9292963429712,99.3710691564813
"47","Aggregatibacter aphrophilus","150",97.617658162473,99.9746189664924,99.9511801663616,94.5890804819233,98.9233800694934,99.9671118249154,99.9536523828829,96.1591254417161
"48","Aggregatibacter aphrophilus","300",98.9342291895294,99.9946445085604,99.9791242776965,99.2707829204076,99.4776220176209,99.9931134871437,99.9832300763404,99.4015408645843
"49","Bacillus cereus","75",4.05598400457012,99.9988954486964,99.8305483997073,86.5853658536585,98.0449174039473,99.9971511565269,99.9338933271854,99.9133080087638
"50","Bacillus cereus","150",4.84848484848485,99.9975938305816,99.950397372163,50,99.5752740630201,99.998062228967,99.9906807184064,99.8906034085675
"51","Bacillus cereus","300",12.8386336866902,99.9984440576487,99.8451970708594,93.5622317596567,99.7919200973174,99.9987158990953,99.9920268725459,99.96151996152
"52","Bacillus thuringiensis","75",11.7088065353307,99.9999490335491,99.0163586944158,99.8816142286014,92.6172721538901,99.9974231790713,99.9174961861271,99.2419878537871
"53","Bacillus thuringiensis","150",19.4750884139812,99.9999493610549,99.1763065429388,99.8837620236875,98.3635607935782,99.9964977830323,99.9770730947972,99.0671477476722
"54","Bacillus thuringiensis","300",23.4536348709719,99.9999544482808,99.1488092299202,99.9553909439203,98.965234463099,99.9937482168673,99.9830692598468,98.398102448924
"55","Bacteroides fragilis","75",90.5350224105596,99.9983017807433,99.9588657253953,98.3666300174209,95.3420406843984,99.9947962149069,99.9471892029118,90.6161086678383
"56","Bacteroides fragilis","150",94.4233572283746,99.9965148872977,99.974552643245,96.9872016138638,96.2537790335269,99.9893708921655,99.9468759218718,86.4798705482015
"57","Bacteroides fragilis","300",95.2207114637439,99.9913257112276,99.9731568888961,94.2345967030241,96.1429866416653,99.9817833583114,99.9479188393164,81.5082785033337
"58","Bordetella bronchiseptica","75",13.2452605245057,99.9827786884894,98.8133089241806,87.0460821312582,94.4613698990374,99.9988831842876,99.62348737547,99.9721599882298
"59","Bordetella bronchiseptica","150",21.8484858261193,99.9676606549044,98.9142087288995,85.6139085229556,97.9103807626249,99.9984628260877,99.8495855744785,99.970807102008
"60","Bordetella bronchiseptica","300",33.0704341918761,99.9396145225161,99.0361729180172,83.3543085866999,98.5067769646588,99.9979394387708,99.8907006450269,99.9546886719236
"61","Bordetella hinzii","75",90.4186761111374,99.9991586154232,99.8897006476312,99.814126552801,94.4613698990374,99.9988831842876,99.62348737547,99.9721599882298
"62","Bordetella hinzii","150",98.0996287524102,99.9988104704406,99.975065048317,99.7277551813632,97.9103807626249,99.9984628260877,99.8495855744785,99.970807102008
"63","Bordetella hinzii","300",99.3176217954786,99.9962366437112,99.9885391282474,99.2844307541341,98.5067769646588,99.9979394387708,99.8907006450269,99.9546886719236
"64","Bordetella holmesii","75",94.7832188587433,99.9988417396686,99.9504047951631,99.8211722150836,94.4613698990374,99.9988831842876,99.62348737547,99.9721599882298
"65","Bordetella holmesii","150",97.1687079433012,99.9987347995375,99.9725645015559,99.7899838007921,97.9103807626249,99.9984628260877,99.8495855744785,99.970807102008
"66","Bordetella holmesii","300",97.7955596637168,99.9969904410382,99.9763937486622,99.4864032461186,98.5067769646588,99.9979394387708,99.8907006450269,99.9546886719236
"67","Bordetella parapertussis","75",10.3632362021647,99.9922179728745,98.9298639860887,87.5075416642151,94.4613698990374,99.9988831842876,99.62348737547,99.9721599882298
"68","Bordetella parapertussis","150",20.0431111636738,99.9860147723733,99.0386605012981,87.7834099854246,97.9103807626249,99.9984628260877,99.8495855744785,99.970807102008
"69","Bordetella parapertussis","300",32.5729031152004,99.9745226829017,99.1746817914926,86.9838849738402,98.5067769646588,99.9979394387708,99.8907006450269,99.9546886719236
"70","Bordetella petrii","75",89.7066295117917,99.9988230318391,99.8010876611155,99.8912160097761,94.4613698990374,99.9988831842876,99.62348737547,99.9721599882298
"71","Bordetella petrii","150",93.9129060590982,99.9985307136774,99.8827429504989,99.8795263100748,97.9103807626249,99.9984628260877,99.8495855744785,99.970807102008
"72","Bordetella petrii","300",94.9732031551613,99.9951869295377,99.8990813546356,99.6307730678053,98.5067769646588,99.9979394387708,99.8907006450269,99.9546886719236
"73","Brevibacillus brevis","75",85.3960828457793,100,99.912141734186,100,99.0627753982384,99.9999749093223,99.9943866936447,99.9796416938111
"74","Brevibacillus brevis","150",96.3218971069581,100,99.9792562100039,100,99.9072415135677,100,99.9994989367424,100
"75","Brevibacillus brevis","300",98.3324838746607,100,99.9914058381592,100,99.9536901268856,99.9998953026486,99.9997929161251,99.9905758175478
"76","Brucella anthropi","75",37.3473262877536,99.9999617908048,99.4594871917749,99.9711511018226,98.83482929627,99.9998227460014,99.9896435240088,99.9463669220073
"77","Brucella anthropi","150",52.3463950873526,99.9999234946995,99.5916412103537,99.9678095619449,99.8091004473884,99.9998083315151,99.9980382279475,99.963899107111
"78","Brucella anthropi","300",67.1419441129489,99.9997763028704,99.7117524715436,99.9281853718819,99.8539368487265,99.9994984890345,99.9983392288199,99.9038691622623
"79","Burkholderia gladioli","75",91.2387282173105,99.9975677656661,99.9084769206443,99.6321120531512,94.5462366416888,99.9958252748915,99.8287793858582,99.8273272426165
"80","Burkholderia gladioli","150",98.2034087827526,99.9973983971618,99.9795881707885,99.6333566498458,99.0700536736326,99.9943226841775,99.9657970091151,99.7691295310496
"81","Burkholderia gladioli","300",99.4616420420174,99.9981052741872,99.9930787939096,99.6790243851563,99.7845580457573,99.9912174598167,99.9852175374135,99.6400091514638
"82","Burkholderia glumae","75",82.0710409353003,99.9991343655168,99.8369046634832,99.8603376943626,94.5462366416888,99.9958252748915,99.8287793858582,99.8273272426165
"83","Burkholderia glumae","150",94.6805066341541,99.9995762741166,99.9510048323455,99.9400501180358,99.0700536736326,99.9943226841775,99.9657970091151,99.7691295310496
"84","Burkholderia glumae","300",98.4113206976903,99.9995978754949,99.9850346247085,99.9381874072901,99.7845580457573,99.9912174598167,99.9852175374135,99.6400091514638
"85","Burkholderia thailandensis","75",68.2844713761844,99.9996974007686,99.8829341842075,99.6314873560254,94.5462366416888,99.9958252748915,99.8287793858582,99.8273272426165
"86","Burkholderia thailandensis","150",87.3240646789662,99.9997141268651,99.9531249098726,99.7402075061395,99.0700536736326,99.9943226841775,99.9657970091151,99.7691295310496
"87","Burkholderia thailandensis","300",95.3805961891252,99.999600360529,99.9822696302721,99.6413180441433,99.7845580457573,99.9912174598167,99.9852175374135,99.6400091514638
"88","Campylobacter concisus","75",96.0275238555758,99.9981715740137,99.956144521084,96.9608745267307,94.1394692812147,99.9992540469024,99.8188404690995,99.6254827789334
"89","Campylobacter concisus","150",99.2563380152859,99.9978094128211,99.9900712424633,97.1556770115946,98.4312837568778,99.9989781572611,99.9420019021074,99.7447451548239
"90","Campylobacter concisus","300",99.7688810102077,99.9978891452129,99.9953208429985,97.2498871937208,99.3573407534729,99.9990711922534,99.9720630565272,99.7613662622293
"91","Campylobacter curvus","75",97.0275113777636,100,99.9591666980345,100,97.0530598957434,99.9993912170647,99.9593880779253,99.9372076530327
"92","Campylobacter curvus","150",99.3948490497636,100,99.9978963891057,100,99.5921545837313,99.9994462913536,99.9968439335213,99.8775906681865
"93","Campylobacter curvus","300",99.8449597791671,100,99.9971013342763,100,99.970651216416,99.9990538675258,99.9987575579562,99.9200766376144
"94","Campylobacter fetus","75",91.8279265574698,99.9998475179738,99.8841015136452,99.9884437596302,95.9271970202176,99.9994312985367,99.8739798127185,99.9813521394182
"95","Campylobacter fetus","150",97.0858024190275,99.9995942896265,99.9636361450708,99.966566365764,99.6358795661877,99.9985219001607,99.9799648182208,99.9725004910627
"96","Campylobacter fetus","300",98.8206856138295,100,99.9833302099048,100,99.9596882558452,99.9997863364283,99.9985504530352,99.9932791182203
"97","Campylobacter jejuni","75",7.33756917401107,99.9999497583628,99.7733628700019,99.7214484679666,96.1357890935356,99.9990902869942,99.966921604202,99.8874296435272
"98","Campylobacter jejuni","150",15.6207827260459,100,99.749381470262,100,99.4015233949946,99.9995961957602,99.9951900482097,99.945295404814
"99","Campylobacter jejuni","300",27.2340425531915,100,99.8229344422539,100,99.9501060246975,99.998955861117,99.9985503404629,99.8753583447588
"100","Capnocytophaga gingivalis","75",94.8667830871918,99.9998468597174,99.9785415119798,98.6458390811473,97.2630424842173,99.9998687110091,99.9582502098555,97.9157142389614
"101","Capnocytophaga gingivalis","150",98.3791678176455,99.9998555651919,99.9970864484388,97.8434630766092,99.7238887487236,99.9997478497338,99.9961539548005,96.2256625402888
"102","Capnocytophaga gingivalis","300",99.3231419474868,99.9997917766996,99.9974868182108,98.5762035915824,99.9139080947041,99.9996558159685,99.996357239167,95.8332987658441
