,,,,DOADOR SAUDAVEL,DOADOR SAUDAVEL,DOADOR SAUDAVEL,DOADOR SAUDAVEL,DOADOR SAUDAVEL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO VIRAL,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO BACTERIANA
taxon_name,tax_id,genus_name,pathogenic,CSI001,CSI002,CSI003,CSI004,CSI005,SI001,SI002,SI003,SI004,SI005,SI006,SI007,SI008,SI010,SI018,SI019,SI021,SI023,SI029,SI030,SI032,SI034,SI035,SI037,SI041
Enterovirus B,138949,Enterovirus,Yes,,,,,,,,,,,,,,,,,,,,,,0.248178582079917,0.0478646452629536,,
Escherichia virus ECH1,2593465,Guelphvirus,No,0.000280071406129922,,,,,,,,,,,,,0.000350765213158882,,,,,,,,,,,0.000350303189439925
Fusobacterium necrophorum,859,Fusobacterium,Yes,,0.00755902172707046,,,,,,,,,,,0.0234139998191935,,10.8135768377168,0.00944875555994818,,,,,,1.17983097049049,0.59906009240921,0.0116150963979134,
Fusobacterium nucleatum,851,Fusobacterium,Yes,0.00392103296031174,0.0246490259931903,0.0376386623845443,0.0113535107508869,1.67485578469398,1.31156469597911,0.0404127503810486,9.94870149986185,0.0797092686640157,0.0909070760684953,0.994399693758575,0.00910905034396282,0.0133180124982924,1.48724640650705,0.733931732609506,1.79555948145881,3.27915062642582,0.0112054241692976,0.0169674862799569,4.17083972959962,0.488270194308748,3.44577757657736,0.354919580804938,2.13136953022882,0.013399506670552
Fusobacterium pseudoperiodonticum,2663009,Fusobacterium,No,0.00378099725724678,9.19177365956512,9.88843444800454,5.13814064409469,,0.0140274008560937,5.89459947262896,0.0171430840289894,0.0180294051922947,3.4530069108943,0.434079817610968,13.8882735990168,0.0019332536604025,0.0152582962859783,2.95786309799913,0.00561019789068105,0.0201175274174055,1.63038915540834,4.47833292263517,,0.140307935683579,1.60837460096686,1.80621076084775,0.15970757547131,2.75513017306605
Gemella haemolysans,1379,Gemella,Yes,0.540961730869374,0.0792053701908949,0.00761735839198527,0.699727872848152,0.00397828507940781,4.65991171856684,0.794446839615822,0.0757152307127384,0.0151827062817867,2.71476738612285,3.11209453323145,0.00253029580503493,0.0339394082419601,3.87508511403044,1.94721785459544,0.493401257939059,0.00292027826656773,0.0385185562962815,0.0129275662329806,,,0.00690692790047225,0.0153528084186256,0.0203263363478119,0.00779447916435479
Georgenia sp. Z443,2589797,Georgenia,No,,,,,,,,,,,,,,,,,,,9.55293435052192,,,,,,
Haemophilus haemolyticus,726,Haemophilus,Yes,,0.0956381715576392,0.00470481771968394,0.0158137700487572,,0.00701372148180147,4.74019258007654,0.0742870399507437,3.2993889525002,0.354116290430408,3.20975990318533,0.203183391708204,0.0706713504613229,1.41796861203396,0.326393357366356,3.47537269642449,,0.029414274158678,0.103689921262811,,,0.662594621256645,1.31702977135351,0.0174226445968702,0.00306524744786277
Haemophilus influenzae,727,Haemophilus,Yes,0.00350092585111686,0.0673739926442585,0.0138904486848972,0.0139216025721988,0.00795657015881562,0.0252493468054743,0.273601274217477,4.07005826186054,0.355844299200405,0.0620069895447485,0.202423561269482,0.0318816216257588,0.0880707560766607,0.0569993947061531,0.0449179257749155,0.00915347833350887,0.00908533761984686,0.058828548317356,0.0255858944440148,16.7625858014834,0.190818645439656,0.0475636818636489,0.0511760280620855,0.101632093481743,0.00630563388507705
Haemophilus parahaemolyticus,735,Haemophilus,Yes,0.00308081874192197,9.12538259273918,,0.00216257981585235,1.02838610174367,0.495167464968406,0.522728254714079,49.0078351355767,0.00759135314089336,20.988911462323,41.6145290458479,0.0650285457920164,40.9618382101108,14.5518568591184,0.286392613801186,,3.00724205698953,55.1656926134779,0.0570967431934797,0.745192040533367,56.6393376368144,,,5.66524992761934,0.0119982434913185
Haemophilus parainfluenzae,729,Haemophilus,Yes,0.500212123228051,18.0197784984573,10.6459121515339,3.37524176809484,,0.509193476276697,12.0107035832912,0.334290823548873,0.0493438907773768,6.68267935670288,6.6381117926296,7.75534945631412,0.0416724579326316,0.0106983485149128,1.11688324544724,0.00738183811209496,0.0275804744938967,0.0553267129583832,3.06545448435026,,0.0224492451943708,0.227458236556571,0.728504215809003,18.8163935797319,7.90210380024677
Human metapneumovirus,162145,Metapneumovirus,Yes,,,,,,,,,,,,,,,,0.00236219467429253,,,,,,,,,
Human orthopneumovirus,11250,Orthopneumovirus,Yes,,0.000328645463919321,,,,,,,,,,,,,,,,,,,,,,,
Human rhinovirus sp.,169066,Enterovirus,Yes,,,,,,,0.000878543855098134,0.00428577100724736,,,0.074413948558365,,,,,,,,,,,,,,
Janibacter limosus,53458,Janibacter,No,,,,,4.38206583869771,,,,,,,,,,,,,,,,,,,,
Kingella denitrificans,502,Kingella,Yes,,,,,,,,,,0.00365822835304258,,,3.88070219072465,0.00876913032897205,,,,,,,,0.0141278286460982,,,
Kingella negevensis,1522312,Kingella,No,,,,,,,,,,,,,6.64461860938814,,,,,,,,,,0.039435474733034,,
Lancefieldella parvula,1382,Lancefieldella,No,1.34169243606991,0.00394383359549489,0.00336060993414698,0.00148677528751539,,,0.0178217466212056,,,,0.00730851896914557,0.0571845796761082,,,,3.48835267793463,0.20539352253541,0.0049023654210095,0.00430918874432685,0.0586602309861099,,0.0497613274629485,4.06729283758592,,0.420638624360288
Lautropia mirabilis,47671,Lautropia,No,1.00672477167301,0.00624440466000796,,0.0412240362897492,0.50126365721283,,0.902132530697073,0.024286035707735,0.00474460221498358,0.00877975250863789,0.00332205649087837,0.923809119111964,0.460544668504198,0.195551368496903,0.112950584606615,,0.0220644619666925,0.00350169250188611,1.82090732616453,0.604773781885901,,,0.00963312200313712,0.0116150963979134,
Leptotrichia trevisanii,109328,Leptotrichia,No,0.00196051648015587,,,0.00216257981585235,,2.41552252869074,0.00853433544745607,,0.00189783395060652,0.00420697264400429,,,4.56163535812948,0.0654177598219662,,,0.00421818658267354,0.649914030390917,0.00403985869616815,,0.0448984903887415,0.00282557303218749,0.00331138279913183,,
Leptotrichia wadei,157687,Leptotrichia,No,1.28035756344079,,,,,0.0098191763885147,2.31230753858511,,,,0.00686557279290828,0.00354241048850817,0.0231991490720146,0.00227998339909968,0.00295080403132802,5.17436204093671,0.0113566720248086,0.00280134583824679,0.00296256917893747,0.0394528564408247,,0.00612205968855656,0.0111383156159555,0.0174226445968702,
Micrococcus luteus,1270,Micrococcus,No,0.0144237938764159,0.00361518813157557,0.0405512030568456,0.00364934179043256,0.644482314260342,0.0126246734027371,0.0284896742728215,0.0285718637969473,0.0256208797024589,7.64806778858259,0.669947793454462,1.90910593809995,5.30786492716471,0.00719069638332403,0.122786661468154,6.5615773197641,1.63633399173235,0.0308148858533357,0.00942635229542774,0.022062518856531,1.65001897019871,0.00722088248820637,0.0367263296469982,0.200359754075714,0.0241716259719884
Micrococcus lylae,1273,Micrococcus,No,,,,0.0108128591404562,0.421696641661904,,,,0.00474460221498358,,,,0.151653433843541,,,3.71542137408534,,0.00420203916552543,0.0694857720317594,,9.14244091735019,,,,5.74005621311625
Micrococcus sp. 08XMSZT-3,869010,Micrococcus,No,,,,,4.55113999815631,,,,,,,,,,,,,,,,,,,,
