accession,tax_id,superkingdom,phylum,class,order,family,genus,species,superkingdom_taxid,phylum_taxid,class_taxid,order_taxid,family_taxid,genus_taxid,species_taxid
NZ_CP019962.1,1736,Bacteria,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium limosum,2,1239,186801,186802,186806,1730,1736
NC_001722.1,11709,Viruses,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,Human immunodeficiency virus 2,10239,2732409,2732514,2169561,11632,11646,11709
NZ_CP019668.1,95486,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cenocepacia,2,1224,28216,80840,119060,32008,95486
NZ_CP120398.1,90370,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,2,1224,1236,91347,543,590,28901
NZ_CP050497.1,69710,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema vincentii,2,203691,203692,136,2845253,157,69710
NZ_CP008852.1,484770,Bacteria,Bacillota,Negativicutes,Selenomonadales,Sporomusaceae,Pelosinus,Pelosinus sp. UFO1,2,1239,909932,909929,1843490,365348,484770
NZ_CP027286.1,46867,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium chauvoei,2,1239,186801,186802,31979,1485,46867
NC_076948.1,11041,Viruses,Kitrinoviricota,Alsuviricetes,Hepelivirales,Matonaviridae,Rubivirus,Rubivirus rubellae,10239,2732406,2732461,2732543,2560066,11040,2846071
NZ_CP036259.1,2377,Bacteria,Bacillota,Negativicutes,Selenomonadales,Sporomusaceae,Sporomusa,Sporomusa termitida,2,1239,909932,909929,1843490,2375,2377
NZ_AP019735.1,2585118,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes communis,2,976,200643,171549,171550,239759,2585118
NZ_CP039712.1,2571750,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Vagococcus,Vagococcus zengguangii,2,1239,91061,186826,81852,2737,2571750
NZ_CP012672.1,56,Bacteria,Myxococcota,Undefined class in Myxococcota,Polyangiales,Polyangiaceae,Sorangium,Sorangium cellulosum,2,2818505,2818505,3031712,49,39643,56
NZ_CP098483.1,40324,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Stenotrophomonas,Stenotrophomonas maltophilia,2,1224,1236,135614,32033,40323,40324
NZ_CP017761.1,1911586,Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Marinilactibacillus,Marinilactibacillus sp. 15R,2,1239,91061,186826,186828,191769,1911586
NC_012756.1,644007,Viruses,Uroviricota,Caudoviricetes,Undefined order in Caudoviricetes,Undefined family in Caudoviricetes,Undefined genus in Caudoviricetes,Streptococcus phage PH10,10239,2731618,2731619,2731619,2731619,2731619,644007
NZ_CP116810.1,258594,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Rhodopseudomonas,Rhodopseudomonas palustris,2,1224,28211,356,41294,1073,1076
NZ_CP027228.1,114527,Bacteria,Bacillota,Clostridia,Peptostreptococcales,Anaerovoracaceae,Mogibacterium,Mogibacterium diversum,2,1239,186801,3082720,3030910,86331,114527
NZ_CP033459.1,2133944,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Pseudoprevotella,Pseudoprevotella muciniphila,2,976,200643,171549,171552,2884814,2133944
NZ_CP066811.1,89152,Bacteria,Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Peptacetobacter,Peptacetobacter hiranonis,2,1239,186801,3082720,186804,2743582,89152
NZ_CP098491.1,1423,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis,2,1239,91061,1385,186817,1386,1423
NZ_CP017038.2,712710,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Tannerella,Tannerella serpentiformis,2,976,200643,171549,2005525,195950,712710
