accession,tax_id
NZ_CP127188.1,1639
NZ_CP029197.1,953739
NZ_CP032620.1,2382163
NZ_CP034438.1,1282737
NZ_CP025746.1,2320868
NZ_CP054494.1,996
NZ_CP065983.1,739
NZ_CP124208.1,1744
NZ_CP101412.1,33033
NZ_CP006683.1,1385937
NZ_CP017428.1,1286
NZ_CP015901.2,1359
NZ_CP038865.1,2562451
NZ_CP018335.1,1534
NZ_CP027569.1,907
NZ_CP011861.1,1648
NZ_CP048000.1,2696063
NZ_CP068448.1,1590
NZ_CP042818.1,162
NZ_CP028103.1,469618
NZ_CP016839.1,2756
NZ_CP020431.2,1839799
NZ_CP126077.1,1482
NZ_CP124548.1,1659
NZ_CP016953.1,1888195
NZ_CP068102.1,172042
NZ_CP007570.1,1311
NZ_CP027400.1,34105
NZ_CP098483.1,40324
NZ_CP045696.1,2606626
NZ_CP028415.1,28037
NZ_CP029491.1,1310
NZ_CP088203.1,53345
NZ_CP115634.1,1117645
NZ_CP039712.1,2571750
NZ_CP124126.1,28188
NZ_AP019846.1,554406
NZ_CP027782.1,1513
NZ_CP021252.1,43770
NZ_CP009709.1,1121088
NZ_CP040348.1,74426
NZ_CP044230.1,2610896
NZ_AP026069.1,1363
NZ_CP034169.1,33945
NZ_CP032621.1,1433513
NZ_CP013476.1,1712675
NZ_CP023474.1,1200792
NZ_CP032848.1,1465
NZ_CP041379.1,329854
NZ_CP098491.1,1423
NZ_CP013745.1,656366
NZ_CP039462.1,1307
NZ_AP025590.1,871541
NZ_CP126745.1,1747
NZ_CP007626.1,64104
NZ_CP027286.1,46867
NZ_CP027229.1,1316596
NZ_CP014835.1,1814128
NZ_CP016844.1,2751
NZ_CP109758.1,1352
NZ_CP040915.1,2589797
NZ_CP047630.1,1366
NZ_CP066294.2,1309
NC_012753.1,646413
NZ_CP095735.1,1598
NZ_CP019728.1,708126
NZ_CP048626.1,1121114
NZ_CP019668.1,95486
NZ_CP012672.1,56
NZ_CP015402.2,1796646
NZ_CP019962.1,1736
NZ_CP016753.1,712368
NZ_CP012589.1,1705617
NZ_CP014264.1,712633
NZ_CP085964.1,200
NZ_CP098447.1,584
NZ_CP125992.1,1396
NZ_CP009933.1,1548
NZ_CP036259.1,2377
NZ_CP104580.1,316
NZ_CP025228.1,2057800
NZ_CP012590.1,712122
NZ_CP024696.1,28131
