accession,tax_id
NZ_CP054494.1,996
NZ_CP012672.1,56
NZ_CP029033.1,2495645
NZ_CP032819.1,2093856
NZ_CP027228.1,114527
NZ_CP040915.1,2589797
NZ_CP066811.1,89152
NZ_CP116810.1,258594
NZ_CP017761.1,1911586
NZ_CP050497.1,69710
NZ_CP015348.1,1571
NZ_CP027286.1,46867
NZ_CP045696.1,2606626
NZ_CP046313.1,84135
NZ_CP033459.1,2133944
NZ_CP050134.2,43768
NZ_CP117966.1,301301
NZ_CP017042.1,1884263
NZ_AP025575.1,84112
NZ_CP039712.1,2571750
NZ_CP013334.1,1307444
NZ_CP040235.1,216816
NZ_CP012196.1,824
NZ_CP017038.2,712710
NZ_CP071986.1,210
NZ_CP026548.1,853
NZ_CP066560.1,731
NZ_CP118095.1,87541
NC_012756.1,644007
NZ_CP040004.1,2572088
NZ_CP013476.1,1712675
NZ_CP054018.1,2047
NZ_CP033719.1,556499
NZ_CP020566.1,39777
NZ_CP073804.1,1855823
NZ_AP019735.1,2585118
NZ_CP019668.1,95486
NZ_CP012069.2,712411
NZ_CP072246.1,357276
NZ_CP120209.1,253
NZ_CP016839.1,2756
NZ_CP068103.1,54005
NZ_CP029197.1,953739
NZ_CP023482.1,1667168
NZ_CP098491.1,1423
NZ_CP077403.1,43674
NZ_CP008852.1,484770
NZ_CP036259.1,2377
NZ_AP019829.2,157687
NZ_CP025330.1,273384
