accession,tax_id
NZ_CP073277.1,1492
NZ_CP068103.1,54005
NZ_CP047311.1,303
NZ_CP029197.1,953739
NZ_CP026734.1,1703
NZ_CP072042.1,239935
NZ_CP014162.1,51665
NZ_CP040348.1,74426
NZ_CP015348.1,1571
NZ_AP019846.1,554406
NZ_CP033719.1,556499
NC_012753.1,646413
NZ_CP008849.1,589873
NZ_CP040004.1,2572088
NZ_CP012672.1,56
NZ_CP027228.1,114527
NZ_CP050497.1,69710
NZ_CP072373.1,28129
NZ_CP020566.1,39777
NZ_CP126077.1,1482
NZ_CP040121.1,2576606
NZ_CP036259.1,2377
NZ_CP012069.2,712411
NZ_CP012196.1,824
NZ_CP039381.1,2564099
NZ_CP017042.1,1884263
NZ_CP012117.1,1630135
NC_001422.1,2886930
NZ_CP046313.1,84135
NZ_CP027235.1,712310
NZ_CP034465.1,2496265
NZ_CP124126.1,28188
NZ_CP046246.1,51669
NZ_CP072246.1,357276
NZ_CP029066.1,53346
NZ_CP073804.1,1855823
NZ_CP016953.1,1888195
NZ_AP019735.1,2585118
NZ_CP071986.1,210
NZ_CP077403.1,43674
NZ_CP016839.1,2756
NZ_CP050134.2,43768
NZ_CP017038.2,712710
NZ_AP025575.1,84112
NZ_CP068102.1,172042
NZ_CP032819.1,2093856
NZ_CP120618.1,1404
NZ_CP014150.1,1505
NC_012756.1,644007
NZ_CP040235.1,216816
NZ_CP068112.1,2051
NZ_CP019668.1,95486
NZ_CP040915.1,2589797
NC_000866.4,2681598
NZ_CP028105.1,861
NZ_CP084018.1,437897
NZ_CP065995.1,1245
NZ_CP120209.1,253
NZ_CP097775.1,1406
NZ_CP116810.1,258594
