accession,tax_id
NZ_CP039712.1,2571750
NZ_CP033459.1,2133944
NZ_AP019735.1,2585118
NZ_CP050497.1,69710
NZ_CP027228.1,114527
NC_001422.1,2886930
NZ_CP036259.1,2377
NZ_CP085178.1,1255
NZ_CP019668.1,95486
NZ_CP017038.2,712710
NC_012756.1,644007
NZ_CP027286.1,46867
NZ_CP066560.1,731
NZ_CP072246.1,357276
NZ_CP047311.1,303
NZ_CP012672.1,56
NZ_CP117966.1,301301
NZ_CP068103.1,54005
NZ_CP046313.1,84135
NC_000866.4,2681598
NZ_CP017042.1,1884263
NZ_CP017761.1,1911586
NZ_CP008852.1,484770
NZ_CP098491.1,1423
NZ_CP118095.1,87541
