accession,tax_id
NZ_CP014264.1,712633
NZ_CP072236.1,820
NZ_CP049272.1,199
NZ_CP024700.1,2663009
NZ_CP012589.1,1705617
NZ_CP015402.2,1796646
NZ_CP046316.1,2545799
NZ_AP019735.1,2585118
NZ_CP070914.1,562
NZ_CP009227.1,1539298
NZ_CP090007.1,1304
NZ_CP065726.1,483
NZ_AP021887.1,2598453
NZ_CP022022.1,2708117
NZ_CP046314.1,29391
NZ_CP027229.1,1316596
NZ_CP046313.1,84135
NZ_AP014938.1,43675
NZ_CP068102.1,172042
NZ_CP015424.1,730
NZ_CP013334.1,1307444
NZ_CP017038.2,712710
NZ_CP012544.1,204
NZ_CP032364.1,617123
NZ_CP121769.1,738
NZ_CP097335.1,75985
NZ_AP019846.1,554406
NZ_CP124126.1,28188
NZ_CP125087.1,729
NZ_CP016753.1,712368
NZ_CP031255.1,495
NZ_CP041379.1,329854
NZ_CP020431.2,1839799
NZ_CP027228.1,114527
NZ_CP044230.1,2610896
NZ_CP039886.1,484
NZ_CP022379.1,1019
NZ_CP053939.1,488
NZ_CP126076.1,1496
NZ_CP024696.1,28131
NZ_CP046315.1,1660
NZ_CP019721.1,29466
NZ_CP027231.1,28119
NZ_CP114055.1,1585976
NZ_CP017042.1,1884263
NZ_CP028415.1,28037
NZ_CP066560.1,731
NZ_CP050870.1,1308
NZ_CP012067.1,732
NZ_CP072224.1,818
NZ_CP014239.1,713030
NZ_CP039462.1,1307
NZ_CP072244.1,28116
NZ_CP017295.1,1302
NZ_CP107038.1,1313
NZ_CP126474.1,1428
NZ_CP065983.1,739
NZ_CP029206.1,189834
NZ_CP038817.1,735
NZ_CP073277.1,1492
NZ_CP043435.1,983328
NZ_CP066065.1,52773
NZ_AP025240.1,821
NZ_CP014227.1,45243
NZ_CP064367.1,487
NZ_CP063424.1,715
NZ_CP031253.1,486
NZ_CP012196.1,824
NZ_CP050133.1,889201
NZ_CP127017.1,1280
NZ_CP013195.1,76123
NZ_CP014231.1,1785996
NZ_CP036550.1,817
NZ_CP031243.1,726
NZ_CP046027.1,2666100
NZ_CP040121.1,2576606
NZ_CP007573.1,1328
NZ_AP019829.2,157687
NZ_CP028108.1,860
NZ_CP072373.1,28129
NZ_CP008849.1,589873
NZ_AP014880.1,1338
NZ_AP019823.1,157688
NZ_CP126983.1,837
NZ_CP072258.1,997873
NZ_CP050820.1,1491
NZ_CP045696.1,2606626
NZ_CP083637.1,1379
NZ_CP050497.1,69710
NZ_CP028101.1,190304
NZ_CP073118.1,28449
NZ_CP050136.1,504
NZ_CP026548.1,853
NZ_CP019668.1,95486
NZ_CP125806.1,747
NZ_CP032621.1,1433513
NZ_CP072251.1,246787
NZ_CP015577.1,1244531
NZ_CP032620.1,2382163
NZ_CP012410.1,712357
NZ_CP022386.1,1017
NZ_CP027234.1,28113
NZ_CP116438.1,451751
NZ_CP040798.1,1305
NZ_CP085096.1,714
NZ_CP034842.1,143388
NZ_CP040004.1,2572088
NZ_CP050134.2,43768
NZ_CP027235.1,712310
NZ_CP022384.1,327575
NZ_CP027232.1,1316593
NZ_AP018768.1,727
NZ_CP007570.1,1311
NZ_CP127164.1,492670
NZ_CP097843.1,1303
NZ_CP033459.1,2133944
NZ_CP020566.1,39777
NZ_CP072246.1,357276
NZ_CP006943.1,1433287
NZ_CP075172.1,1335
NZ_AP019822.1,157692
NZ_CP034670.1,539
NZ_CP048246.1,485
NZ_CP121210.1,34085
NZ_AP019827.1,157691
NZ_CP101412.1,33033
NZ_AP019831.1,109328
